,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,,,,,,,,,,,,,,"GII: Gender Inequality Index, value",,,,,,,,,,,,,,,,,,,,,,"Labour force participation rate, female-male ratio",,,,,,,,,,,,,,,,,,,,,,"Population with at least secondary education, female/male ratio",,,,,,,,,,,,,,,,,,,,,,Maternal mortality ratio,,,,,,,,,,,,,,,,,,,,,,"Shares in parliament, female-male ratio",,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,a,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,,,,,,,,,,,,,,,,,,,,,,,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,
Cambodia,..,,..,,..,,..,,53.3,,45.4,,..,,..,,39.2,,..,,39.2,,..,,..,,..,,0.623,,0.600,,0.551,,..,,..,,..,,..,,0.500,,0.947,,0.941,,0.926,,0.909,,0.892,,0.871,,0.871,,0.871,,0.870,,0.859,,..,,0.549,,0.555,,0.567,,0.544,,0.538,,0.526,,..,,..,,..,,..,,..,,..,,..,,690,,640,,470,,350,,..,,..,,290,,..,,..,,..,,..,,..,,..,,0.073,,0.122,,..,,..,,0.187,,0.235,,0.235,
Cameroon,..,,..,,..,,..,,142.8,,136.2,,..,,..,,127.5,,..,,127.5,,..,,..,,..,,0.702,,..,,0.668,,..,,..,,..,,..,,0.639,,0.598,,0.571,,0.581,,0.603,,0.629,,0.647,,0.650,,0.652,,0.655,,0.662,,..,,0.326,,0.394,,0.438,,0.493,,0.550,,0.583,,..,,..,,..,,..,,..,,..,,..,,680,,680,,660,,640,,..,,..,,600,,..,,..,,..,,..,,..,,..,,..,,0.098,,..,,..,,0.161,,0.161,,0.161,
Canada,..,,..,,..,,..,,20.1,,15.0,,..,,..,,12.8,,..,,12.8,,..,,..,,..,,0.168,,..,,0.147,,..,,..,,..,,..,,0.140,,0.641,,0.710,,0.762,,0.786,,0.812,,0.840,,0.848,,0.854,,0.854,,0.859,,..,,0.997,,0.997,,0.998,,0.993,,0.998,,0.993,,..,,..,,..,,..,,..,,..,,..,,6,,7,,7,,12,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,0.328,,..,,..,,0.332,,0.332,,0.332,
Cape Verde,..,,..,,..,,..,,105.8,,94.7,,..,,..,,94.9,,..,,94.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.531,,0.524,,0.490,,0.504,,0.547,,0.613,,0.624,,0.636,,0.648,,0.658,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,230,,200,,170,,120,,..,,..,,94,,..,,..,,..,,..,,..,,..,,..,,0.125,,..,,..,,0.220,,0.220,,0.263,
Central African Republic,..,,..,,..,,..,,134.4,,122.5,,..,,..,,106.6,,..,,106.6,,..,,..,,..,,0.733,,..,,0.679,,..,,..,,..,,..,,0.669,,0.803,,0.801,,0.793,,0.803,,0.811,,0.819,,0.820,,0.822,,0.825,,0.825,,..,,0.174,,0.205,,0.252,,0.304,,0.343,,0.362,,..,,..,,..,,..,,..,,..,,..,,880,,890,,900,,910,,..,,..,,850,,..,,..,,..,,..,,..,,..,,..,,0.117,,..,,..,,0.117,,0.106,,..,
Chad,..,,..,,..,,..,,193.4,,189.6,,..,,..,,164.4,,..,,164.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.735,,0.833,,0.807,,0.799,,0.802,,0.806,,0.798,,0.799,,0.801,,0.803,,0.802,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"1,300",,"1,300",,"1,300",,"1,200",,..,,..,,"1,200",,..,,..,,..,,..,,..,,..,,0.025,,0.069,,..,,..,,0.054,,0.054,,..,
Chile,..,,..,,..,,..,,66.9,,61.6,,..,,..,,59.6,,..,,59.6,,..,,..,,..,,0.477,,0.436,,0.396,,..,,..,,..,,..,,0.374,,0.393,,0.396,,0.418,,0.447,,0.480,,0.526,,0.536,,0.560,,0.578,,0.570,,..,,0.935,,0.962,,0.959,,0.959,,0.952,,0.959,,..,,..,,..,,..,,..,,..,,..,,56,,40,,29,,26,,..,,..,,26,,..,,..,,..,,..,,..,,..,,0.098,,0.135,,..,,..,,0.145,,0.162,,0.162,
China,..,,..,,..,,..,,6.8,,8.2,,..,,..,,9.7,,..,,9.7,,..,,..,,..,,0.267,,0.170,,0.224,,..,,..,,..,,..,,0.209,,0.812,,0.834,,0.860,,0.852,,0.848,,0.847,,0.847,,0.848,,0.848,,0.845,,..,,0.457,,0.558,,0.683,,0.714,,0.713,,0.744,,..,,..,,..,,..,,..,,..,,..,,110,,82,,60,,44,,..,,..,,38,,..,,..,,..,,..,,..,,..,,0.001,,0.254,,..,,..,,0.271,,0.271,,0.271,
Colombia,..,,..,,..,,..,,91.7,,95.7,,..,,..,,74.3,,..,,74.3,,..,,..,,..,,0.558,,0.532,,0.516,,..,,..,,..,,..,,0.482,,0.298,,0.342,,0.374,,0.412,,0.462,,0.503,,0.507,,0.511,,0.521,,0.524,,..,,0.873,,0.920,,0.953,,0.980,,0.990,,1.010,,..,,..,,..,,..,,..,,..,,..,,140,,120,,110,,85,,..,,..,,85,,..,,..,,..,,..,,..,,..,,0.139,,0.122,,..,,..,,0.107,,0.107,,0.160,
Comoros,..,,..,,..,,..,,66.5,,63.6,,..,,..,,45.7,,..,,45.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.737,,0.718,,0.740,,0.784,,0.837,,0.852,,0.853,,0.854,,0.855,,0.863,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,530,,450,,390,,360,,..,,..,,340,,..,,..,,..,,..,,..,,..,,..,,0.031,,..,,..,,0.031,,0.001,,0.031,
Congo,..,,..,,..,,..,,130.2,,130.5,,..,,..,,112.8,,..,,112.8,,..,,..,,..,,..,,0.628,,0.631,,..,,..,,..,,..,,0.628,,0.700,,0.689,,0.709,,0.728,,0.736,,0.749,,0.751,,0.754,,0.756,,0.762,,..,,0.374,,0.439,,0.558,,0.680,,0.823,,0.895,,..,,..,,..,,..,,..,,..,,..,,460,,520,,590,,590,,..,,..,,580,,..,,..,,..,,..,,..,,..,,0.136,,0.112,,..,,..,,0.101,,0.101,,0.101,
Congo (Democratic Republic of the),..,,..,,..,,..,,242.0,,230.6,,..,,..,,201.4,,..,,201.4,,..,,..,,..,,..,,..,,0.722,,..,,..,,..,,..,,0.710,,0.647,,0.635,,0.625,,0.632,,0.645,,0.650,,0.652,,0.655,,0.658,,0.661,,..,,0.150,,0.201,,0.268,,0.227,,0.217,,0.262,,..,,..,,..,,..,,..,,..,,..,,900,,910,,850,,740,,..,,..,,670,,..,,..,,..,,..,,..,,..,,..,,0.113,,..,,..,,0.084,,0.084,,0.084,
Costa Rica,..,,..,,..,,..,,86.9,,76.4,,..,,..,,67.0,,..,,67.0,,..,,..,,..,,0.457,,0.437,,0.382,,..,,..,,..,,..,,0.361,,0.349,,0.335,,0.388,,0.422,,0.449,,0.531,,0.548,,0.557,,0.556,,0.565,,..,,0.952,,0.960,,0.973,,0.990,,1.012,,1.008,,..,,..,,..,,..,,..,,..,,..,,35,,42,,41,,43,,..,,..,,44,,..,,..,,..,,..,,..,,..,,0.239,,0.541,,..,,..,,0.583,,0.583,,0.629,
Croatia,..,,..,,..,,..,,17.8,,14.4,,..,,..,,14.1,,..,,14.1,,..,,..,,..,,0.289,,0.208,,0.194,,..,,..,,..,,..,,0.170,,0.692,,0.682,,0.677,,0.694,,0.717,,0.756,,0.770,,0.748,,0.758,,0.766,,..,,0.546,,0.602,,0.646,,0.696,,0.733,,0.767,,..,,..,,..,,..,,..,,..,,..,,8,,14,,11,,14,,..,,..,,14,,..,,..,,..,,..,,..,,..,,0.191,,0.226,,..,,..,,0.264,,0.308,,0.308,
Cuba,..,,..,,..,,..,,67.9,,50.3,,..,,..,,45.2,,..,,45.2,,..,,..,,..,,0.433,,0.420,,0.361,,..,,..,,..,,..,,0.337,,0.440,,0.479,,0.493,,0.519,,0.544,,0.582,,0.593,,0.613,,0.609,,0.612,,..,,0.806,,0.796,,0.848,,0.882,,0.898,,0.911,,..,,..,,..,,..,,..,,..,,..,,63,,62,,65,,53,,..,,..,,53,,..,,..,,..,,..,,..,,..,,0.382,,0.562,,..,,..,,0.759,,0.759,,0.759,
Cyprus,..,,..,,..,,..,,13.1,,7.2,,..,,..,,6.1,,..,,6.1,,..,,..,,..,,0.296,,..,,0.145,,..,,..,,..,,..,,0.141,,0.508,,0.554,,0.623,,0.648,,0.691,,0.737,,0.753,,0.768,,0.776,,0.767,,..,,0.687,,0.749,,0.790,,0.826,,0.879,,0.754,,..,,..,,..,,..,,..,,..,,..,,17,,17,,14,,11,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,0.191,,..,,..,,0.167,,0.143,,0.143,
Czech Republic,..,,..,,..,,..,,16.7,,11.4,,..,,..,,10.6,,..,,10.6,,..,,..,,..,,0.187,,0.205,,0.153,,..,,..,,..,,..,,0.136,,0.715,,0.720,,0.730,,0.732,,0.745,,0.737,,0.737,,0.729,,0.723,,0.722,,..,,0.644,,0.863,,0.986,,1.000,,0.984,,1.000,,..,,..,,..,,..,,..,,..,,..,,15,,9,,7,,7,,..,,..,,8,,..,,..,,..,,..,,..,,..,,0.120,,0.186,,..,,..,,0.191,,0.191,,0.266,
Côte d'Ivoire,..,,..,,..,,..,,136.4,,134.9,,..,,..,,129.9,,..,,129.9,,..,,..,,..,,0.700,,..,,0.671,,..,,..,,..,,..,,0.655,,0.457,,0.466,,0.495,,0.551,,0.599,,0.607,,0.610,,0.613,,0.617,,0.619,,..,,0.217,,0.265,,0.292,,0.348,,0.414,,0.479,,..,,..,,..,,..,,..,,..,,..,,690,,620,,580,,530,,..,,..,,470,,..,,..,,..,,..,,..,,..,,..,,0.093,,..,,..,,0.097,,0.097,,0.097,
Denmark,..,,..,,..,,..,,8.0,,6.6,,..,,..,,6.0,,..,,6.0,,..,,..,,..,,0.097,,0.079,,0.068,,..,,..,,..,,..,,0.060,,0.776,,0.802,,0.818,,0.794,,0.838,,0.847,,0.854,,0.852,,0.855,,0.855,,..,,0.709,,0.791,,0.762,,0.803,,0.844,,0.877,,..,,..,,..,,..,,..,,..,,..,,7,,11,,5,,4,,..,,..,,5,,..,,..,,..,,..,,..,,..,,0.598,,0.584,,..,,..,,0.613,,0.613,,0.613,
Djibouti,..,,..,,..,,..,,31.1,,28.8,,..,,..,,23.0,,..,,23.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.593,,0.610,,0.631,,0.654,,0.697,,0.745,,0.754,,0.764,,0.773,,0.782,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,370,,350,,330,,320,,..,,..,,300,,..,,..,,..,,..,,..,,..,,0.001,,0.121,,..,,..,,0.161,,0.161,,0.161,
Dominica,..,,..,,..,,..,,32.1,,24.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.280,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.148,,..,,..,,0.231,,0.167,,0.143,
Dominican Republic,..,,..,,..,,..,,111.0,,109.6,,..,,..,,108.7,,..,,108.7,,..,,..,,..,,0.572,,0.519,,0.498,,..,,..,,..,,..,,0.480,,0.473,,0.491,,0.505,,0.530,,0.577,,0.601,,0.615,,0.627,,0.635,,0.633,,..,,0.824,,0.823,,0.857,,0.939,,1.073,,1.132,,..,,..,,..,,..,,..,,..,,..,,220,,170,,120,,100,,..,,..,,100,,..,,..,,..,,..,,..,,..,,0.170,,0.182,,..,,..,,0.207,,0.207,,0.236,
Ecuador,..,,..,,..,,..,,85.4,,84.5,,..,,..,,82.8,,..,,82.8,,..,,..,,..,,0.621,,0.534,,0.511,,..,,..,,..,,..,,0.469,,0.358,,0.391,,0.416,,0.468,,0.530,,0.573,,0.583,,0.596,,0.603,,0.606,,..,,0.918,,0.903,,0.892,,0.933,,0.989,,0.976,,..,,..,,..,,..,,..,,..,,..,,230,,190,,170,,140,,..,,..,,140,,..,,..,,..,,..,,..,,..,,0.171,,0.190,,..,,..,,0.333,,0.476,,0.476,
Egypt,..,,..,,..,,..,,58.8,,52.5,,..,,..,,39.0,,..,,39.0,,..,,..,,..,,0.669,,0.650,,0.599,,..,,..,,..,,..,,..,,0.391,,0.373,,0.360,,0.336,,0.321,,0.311,,0.311,,0.314,,0.313,,0.297,,..,,0.376,,0.397,,0.456,,0.531,,0.613,,0.674,,..,,..,,..,,..,,..,,..,,..,,220,,150,,110,,90,,..,,..,,82,,..,,..,,..,,..,,..,,..,,0.020,,0.039,,..,,..,,0.038,,0.038,,..,
El Salvador,..,,..,,..,,..,,111.5,,91.9,,..,,..,,82.7,,..,,82.7,,..,,..,,..,,0.557,,..,,0.533,,..,,..,,..,,..,,0.487,,0.482,,0.483,,0.488,,0.514,,0.569,,0.575,,0.583,,0.597,,0.608,,0.599,,..,,0.781,,0.860,,0.855,,0.861,,0.838,,0.857,,..,,..,,..,,..,,..,,..,,..,,200,,170,,140,,120,,..,,..,,110,,..,,..,,..,,..,,..,,..,,..,,0.120,,..,,..,,0.200,,0.235,,0.235,
Equatorial Guinea,..,,..,,..,,..,,133.9,,128.8,,..,,..,,122.8,,..,,122.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.414,,0.491,,0.432,,0.363,,0.363,,0.402,,0.408,,0.412,,0.416,,0.432,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"1,000",,900,,480,,320,,..,,..,,280,,..,,..,,..,,..,,..,,..,,..,,0.220,,..,,..,,0.064,,0.111,,0.111,
Eritrea,..,,..,,..,,..,,98.7,,83.2,,..,,..,,66.9,,..,,66.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.627,,0.621,,0.654,,0.637,,0.669,,0.714,,0.719,,0.721,,0.722,,0.750,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,930,,590,,420,,330,,..,,..,,280,,..,,..,,..,,..,,..,,..,,0.172,,0.226,,..,,..,,0.282,,0.282,,0.282,
Estonia,..,,..,,..,,..,,30.5,,22.3,,..,,..,,21.4,,..,,21.4,,..,,..,,..,,0.359,,0.237,,0.242,,..,,..,,..,,..,,0.194,,0.836,,0.831,,0.823,,0.758,,0.775,,0.814,,0.814,,0.794,,0.798,,0.794,,..,,0.951,,0.987,,0.989,,0.991,,0.965,,0.990,,..,,..,,..,,..,,..,,..,,..,,48,,46,,14,,23,,..,,..,,12,,..,,..,,..,,..,,..,,..,,0.217,,0.232,,..,,..,,0.263,,0.295,,..,
Ethiopia,..,,..,,..,,..,,111.5,,97.2,,..,,..,,104.4,,..,,104.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.798,,0.803,,0.796,,0.790,,0.801,,0.861,,0.863,,0.865,,0.867,,0.894,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,990,,920,,750,,560,,..,,..,,470,,..,,..,,..,,..,,..,,..,,..,,0.265,,..,,..,,0.272,,0.272,,0.343,
Fiji,..,,..,,..,,..,,45.8,,41.5,,..,,..,,31.5,,..,,31.5,,..,,..,,..,,0.453,,..,,0.389,,..,,..,,..,,..,,..,,0.274,,0.275,,0.348,,0.470,,0.497,,0.497,,0.497,,0.495,,0.494,,0.494,,..,,0.700,,0.756,,0.932,,0.961,,0.973,,0.977,,..,,..,,..,,..,,..,,..,,..,,40,,36,,32,,28,,..,,..,,26,,..,,..,,..,,..,,..,,..,,..,,0.108,,..,,..,,..,,..,,..,
Finland,..,,..,,..,,..,,9.6,,13.1,,..,,..,,11.4,,..,,11.4,,..,,..,,..,,0.092,,0.089,,0.102,,..,,..,,..,,..,,0.075,,0.784,,0.825,,0.820,,0.838,,0.852,,0.875,,0.876,,0.879,,0.873,,0.879,,..,,0.958,,0.892,,0.892,,0.946,,0.893,,0.988,,..,,..,,..,,..,,..,,..,,..,,7,,5,,5,,6,,..,,..,,8,,..,,..,,..,,..,,..,,..,,0.575,,0.600,,..,,..,,0.709,,0.667,,0.667,
France,..,,..,,..,,..,,7.2,,8.0,,..,,..,,6.9,,..,,6.9,,..,,..,,..,,0.184,,0.164,,0.139,,..,,..,,..,,..,,0.106,,0.621,,0.670,,0.704,,0.752,,0.769,,0.802,,0.806,,0.814,,0.818,,0.812,,..,,0.691,,0.782,,0.847,,0.889,,0.917,,0.908,,..,,..,,..,,..,,..,,..,,..,,13,,13,,10,,8,,..,,..,,8,,..,,..,,..,,..,,..,,..,,0.100,,0.162,,..,,..,,0.243,,0.250,,0.250,
Gabon,..,,..,,..,,..,,130.1,,107.1,,..,,..,,89.9,,..,,89.9,,..,,..,,..,,0.562,,..,,0.538,,..,,..,,..,,..,,0.509,,0.811,,0.776,,0.760,,0.753,,0.778,,0.820,,0.830,,0.839,,0.849,,0.864,,..,,2.386,,2.100,,1.755,,1.535,,1.457,,1.500,,..,,..,,..,,..,,..,,..,,..,,260,,250,,260,,260,,..,,..,,260,,..,,..,,..,,..,,..,,..,,..,,0.135,,..,,..,,0.192,,0.191,,0.191,
Gambia,..,,..,,..,,..,,130.9,,102.8,,..,,..,,88.1,,..,,88.1,,..,,..,,..,,0.731,,0.721,,0.613,,..,,..,,..,,..,,0.610,,0.826,,0.816,,0.821,,0.824,,0.823,,0.824,,0.825,,0.826,,0.829,,0.828,,..,,0.374,,0.358,,0.385,,0.407,,0.423,,0.471,,..,,..,,..,,..,,..,,..,,..,,750,,690,,560,,460,,..,,..,,400,,..,,..,,..,,..,,..,,..,,0.021,,0.152,,..,,..,,0.104,,0.082,,0.082,
Georgia,..,,..,,..,,..,,60.5,,48.5,,..,,..,,44.7,,..,,44.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.418,,0.778,,0.771,,0.764,,0.779,,0.740,,0.756,,0.755,,0.754,,0.753,,0.746,,..,,..,,..,,..,,..,,0.968,,..,,..,,..,,..,,..,,..,,..,,..,,58,,64,,50,,52,,..,,..,,48,,..,,..,,..,,..,,..,,..,,..,,0.103,,..,,..,,0.064,,0.054,,0.070,
Germany,..,,..,,..,,..,,12.8,,10.4,,..,,..,,7.7,,..,,7.7,,..,,..,,..,,0.146,,0.131,,0.105,,..,,..,,..,,..,,0.085,,0.565,,0.577,,0.623,,0.687,,0.723,,0.770,,0.778,,0.784,,0.790,,0.796,,..,,0.821,,0.833,,0.837,,0.808,,0.810,,0.984,,..,,..,,..,,..,,..,,..,,..,,13,,9,,7,,7,,..,,..,,7,,..,,..,,..,,..,,..,,..,,0.436,,0.438,,..,,..,,0.452,,0.464,,0.464,
Ghana,..,,..,,..,,..,,90.1,,79.9,,..,,..,,64.0,,..,,64.0,,..,,..,,..,,0.638,,..,,0.606,,..,,..,,..,,..,,0.598,,0.932,,0.949,,0.965,,0.962,,0.948,,0.970,,0.974,,0.978,,0.982,,0.981,,..,,0.360,,0.364,,0.361,,0.350,,0.342,,0.346,,..,,..,,..,,..,,..,,..,,..,,630,,540,,500,,400,,..,,..,,350,,..,,..,,..,,..,,..,,..,,..,,0.122,,..,,..,,0.086,,0.090,,0.090,
Greece,..,,..,,..,,..,,11.7,,10.7,,..,,..,,8.9,,..,,8.9,,..,,..,,..,,0.257,,..,,0.180,,..,,..,,..,,..,,0.162,,0.479,,0.496,,0.538,,0.554,,0.621,,0.654,,0.658,,0.659,,0.659,,0.660,,..,,0.675,,0.699,,0.754,,0.805,,0.845,,0.856,,..,,..,,..,,..,,..,,..,,..,,6,,2,,5,,3,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,0.149,,..,,..,,0.172,,0.210,,0.210,
Grenada,..,,..,,..,,..,,61.5,,51.2,,..,,..,,42.4,,..,,42.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.217,,0.474,,..,,..,,0.273,,0.273,,0.273,
Guatemala,..,,..,,..,,..,,121.1,,115.4,,..,,..,,107.2,,..,,107.2,,..,,..,,..,,0.568,,..,,0.571,,..,,..,,..,,..,,0.542,,0.464,,0.442,,0.449,,0.467,,0.487,,0.514,,0.535,,0.542,,0.547,,0.547,,..,,0.858,,0.873,,0.885,,0.863,,0.777,,0.735,,..,,..,,..,,..,,..,,..,,..,,140,,140,,110,,110,,..,,..,,110,,..,,..,,..,,..,,..,,..,,..,,0.090,,..,,..,,0.137,,0.137,,0.137,
Guinea,..,,..,,..,,..,,174.4,,165.7,,..,,..,,152.3,,..,,152.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.887,,0.881,,0.876,,0.876,,0.879,,0.883,,0.884,,0.885,,0.885,,0.888,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"1,200",,"1,100",,920,,780,,..,,..,,680,,..,,..,,..,,..,,..,,..,,..,,0.239,,..,,..,,..,,..,,..,
Guinea-Bissau,..,,..,,..,,..,,147.3,,130.6,,..,,..,,129.2,,..,,129.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.717,,0.677,,0.727,,0.732,,0.718,,0.712,,0.711,,0.711,,0.712,,0.711,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"1,200",,"1,100",,"1,100",,"1,100",,..,,..,,"1,000",,..,,..,,..,,..,,..,,..,,..,,0.163,,..,,..,,0.111,,0.111,,0.111,
Guyana,..,,..,,..,,..,,73.9,,82.4,,..,,..,,62.7,,..,,62.7,,..,,..,,..,,0.771,,0.487,,0.498,,..,,..,,..,,..,,0.511,,0.413,,0.401,,0.443,,0.510,,0.553,,0.554,,0.552,,0.551,,0.561,,0.551,,..,,0.749,,0.853,,0.911,,0.947,,0.982,,1.000,,..,,..,,..,,..,,..,,..,,..,,310,,250,,120,,190,,..,,..,,270,,..,,..,,..,,..,,..,,..,,0.226,,0.444,,..,,..,,0.429,,0.429,,0.429,
Haiti,..,,..,,..,,..,,61.8,,52.5,,..,,..,,46.4,,..,,46.4,,..,,..,,..,,0.678,,..,,0.576,,..,,..,,..,,..,,0.599,,0.726,,0.694,,0.705,,0.646,,0.692,,0.696,,0.700,,0.705,,0.705,,0.694,,..,,0.651,,0.697,,0.623,,0.602,,0.596,,0.612,,..,,..,,..,,..,,..,,..,,..,,670,,620,,450,,350,,..,,..,,300,,..,,..,,..,,..,,..,,..,,..,,0.100,,..,,..,,0.055,,0.050,,0.043,
Honduras,..,,..,,..,,..,,114.6,,102.5,,..,,..,,93.1,,..,,93.1,,..,,..,,..,,0.775,,..,,0.514,,..,,..,,..,,..,,0.511,,0.465,,0.462,,0.471,,0.487,,0.506,,0.483,,0.483,,0.493,,0.501,,0.499,,..,,0.907,,0.961,,0.979,,1.009,,1.024,,0.946,,..,,..,,..,,..,,..,,..,,..,,210,,180,,160,,130,,..,,..,,110,,..,,..,,..,,..,,..,,..,,..,,0.306,,..,,..,,0.306,,0.219,,0.219,
"Hong Kong, China (SAR)",..,,..,,..,,..,,5.0,,4.0,,..,,..,,5.7,,..,,5.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.560,,0.605,,0.593,,0.621,,0.675,,0.731,,0.737,,0.737,,0.743,,0.758,,..,,0.649,,0.726,,0.802,,0.858,,0.907,,0.938,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Hungary,..,,..,,..,,..,,27.0,,18.5,,..,,..,,20.2,,..,,20.2,,..,,..,,..,,0.310,,..,,0.226,,..,,..,,..,,..,,0.237,,0.697,,0.697,,0.717,,0.683,,0.710,,0.736,,0.733,,0.728,,0.731,,0.724,,..,,0.658,,0.694,,0.725,,0.870,,0.915,,0.955,,..,,..,,..,,..,,..,,..,,..,,23,,23,,10,,10,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,0.100,,..,,..,,0.125,,0.125,,0.100,
Iceland,..,,..,,..,,..,,23.5,,17.3,,..,,..,,15.1,,..,,15.1,,..,,..,,..,,0.155,,0.139,,0.121,,..,,..,,..,,..,,0.099,,0.839,,0.856,,0.882,,0.872,,0.882,,0.876,,0.871,,0.875,,0.874,,0.862,,..,,1.138,,1.148,,1.169,,1.180,,1.137,,1.121,,..,,..,,..,,..,,..,,..,,..,,8,,7,,6,,6,,..,,..,,5,,..,,..,,..,,..,,..,,..,,0.537,,0.500,,..,,..,,0.500,,0.750,,0.750,
India,..,,..,,..,,..,,116.1,,98.6,,..,,..,,68.1,,..,,68.1,,..,,..,,..,,0.692,,..,,0.646,,..,,..,,..,,..,,0.617,,0.378,,0.389,,0.404,,0.415,,0.401,,0.396,,0.400,,0.404,,0.409,,0.404,,..,,0.307,,0.358,,0.394,,0.433,,0.471,,0.498,,..,,..,,..,,..,,..,,..,,..,,570,,470,,390,,280,,..,,..,,230,,..,,..,,..,,..,,..,,..,,..,,0.103,,..,,..,,0.101,,0.115,,0.119,
Indonesia,..,,..,,..,,..,,47.8,,49.1,,..,,..,,39.8,,..,,39.8,,..,,..,,..,,0.581,,..,,0.549,,..,,..,,..,,..,,0.505,,0.532,,0.538,,0.618,,0.602,,0.594,,0.588,,0.595,,0.603,,0.611,,0.605,,..,,0.470,,0.365,,0.562,,0.632,,0.670,,0.716,,..,,..,,..,,..,,..,,..,,..,,620,,440,,350,,270,,..,,..,,240,,..,,..,,..,,..,,..,,..,,..,,0.127,,..,,..,,0.132,,0.217,,0.220,
