,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,,,,,,,,,,,,,,"GII: Gender Inequality Index, value",,,,,,,,,,,,,,,,,,,,,,"Labour force participation rate, female-male ratio",,,,,,,,,,,,,,,,,,,,,,"Population with at least secondary education, female/male ratio",,,,,,,,,,,,,,,,,,,,,,Maternal mortality ratio,,,,,,,,,,,,,,,,,,,,,,"Shares in parliament, female-male ratio",,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,a,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,,,,,,,,,,,,,,,,,,,,,,,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,
Australia,..,,..,,..,,..,,19.2,,16.7,,..,,..,,14.9,,..,,14.9,,..,,..,,..,,0.192,,0.158,,0.139,,..,,..,,..,,..,,0.136,,0.570,,0.609,,0.689,,0.724,,0.754,,0.789,,0.795,,0.800,,0.805,,0.808,,..,,1.002,,1.027,,1.013,,1.000,,0.993,,0.983,,..,,..,,..,,..,,..,,..,,..,,10,,13,,9,,8,,..,,..,,8,,..,,..,,..,,..,,..,,..,,0.333,,0.395,,..,,..,,0.421,,0.430,,0.395,
Austria,..,,..,,..,,..,,14.6,,13.5,,..,,..,,12.8,,..,,12.8,,..,,..,,..,,0.163,,0.158,,0.130,,..,,..,,..,,..,,0.131,,0.538,,0.568,,0.618,,0.694,,0.713,,0.761,,0.769,,0.767,,0.779,,0.781,,..,,0.578,,0.619,,0.661,,0.699,,0.730,,0.756,,..,,..,,..,,..,,..,,..,,..,,10,,7,,5,,5,,..,,..,,5,,..,,..,,..,,..,,..,,..,,0.335,,0.476,,..,,..,,0.363,,0.394,,0.394,
Azerbaijan,..,,..,,..,,..,,41.0,,33.6,,..,,..,,33.8,,..,,33.8,,..,,..,,..,,..,,0.668,,..,,..,,..,,..,,..,,0.314,,0.797,,0.792,,0.803,,0.770,,0.802,,0.868,,0.881,,0.895,,0.910,,0.891,,..,,..,,..,,..,,..,,0.938,,..,,..,,..,,..,,..,,..,,..,,..,,64,,79,,59,,44,,..,,..,,38,,..,,..,,..,,..,,..,,..,,0.000,,0.150,,..,,..,,0.128,,0.128,,0.190,
Bahamas,..,,..,,..,,..,,61.9,,44.0,,..,,..,,53.0,,..,,53.0,,..,,..,,..,,..,,0.381,,..,,..,,..,,..,,..,,0.332,,0.734,,0.776,,0.815,,0.805,,0.848,,0.860,,0.866,,0.868,,0.866,,0.868,,..,,..,,..,,..,,..,,1.041,,..,,..,,..,,..,,..,,..,,..,,..,,55,,59,,56,,48,,..,,..,,49,,..,,..,,..,,..,,..,,..,,0.244,,0.366,,..,,..,,0.333,,0.217,,0.217,
Bahrain,..,,..,,..,,..,,17.9,,15.7,,..,,..,,16.7,,..,,16.7,,..,,..,,..,,..,,..,,0.348,,..,,..,,..,,..,,0.288,,0.197,,0.258,,0.319,,0.355,,0.392,,0.385,,0.382,,0.379,,0.378,,0.381,,..,,0.639,,0.848,,0.913,,0.843,,0.756,,0.875,,..,,..,,..,,..,,..,,..,,..,,25,,22,,23,,21,,..,,..,,19,,..,,..,,..,,..,,..,,..,,..,,0.081,,..,,..,,0.159,,0.159,,0.176,
Bangladesh,..,,..,,..,,..,,130.5,,105.9,,..,,..,,71.6,,..,,71.6,,..,,..,,..,,0.664,,..,,0.598,,..,,..,,..,,..,,0.550,,0.637,,0.660,,0.692,,0.672,,0.636,,0.679,,0.687,,0.695,,0.704,,0.711,,..,,0.212,,0.338,,0.447,,0.563,,0.705,,0.723,,..,,..,,..,,..,,..,,..,,..,,870,,640,,500,,420,,..,,..,,340,,..,,..,,..,,..,,..,,..,,..,,0.173,,..,,..,,0.068,,0.228,,0.228,
Barbados,..,,..,,..,,..,,56.2,,42.1,,..,,..,,42.7,,..,,42.7,,..,,..,,..,,0.361,,0.366,,0.368,,..,,..,,..,,..,,0.364,,0.730,,0.757,,0.791,,0.817,,0.825,,0.838,,0.842,,0.846,,0.846,,0.843,,..,,0.899,,0.913,,0.947,,0.983,,1.014,,1.023,,..,,..,,..,,..,,..,,..,,..,,120,,42,,50,,62,,..,,..,,64,,..,,..,,..,,..,,..,,..,,0.256,,0.214,,..,,..,,0.159,,0.244,,0.244,
Belarus,..,,..,,..,,..,,33.2,,23.9,,..,,..,,21.3,,..,,21.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.832,,0.807,,0.802,,0.792,,0.808,,0.816,,0.819,,0.821,,0.824,,0.824,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,37,,28,,31,,20,,..,,..,,15,,..,,..,,..,,..,,..,,..,,0.117,,0.424,,..,,..,,0.482,,0.474,,0.474,
Belgium,..,,..,,..,,..,,22.7,,16.1,,..,,..,,7.7,,..,,7.7,,..,,..,,..,,0.213,,0.178,,0.129,,..,,..,,..,,..,,0.114,,0.531,,0.565,,0.598,,0.660,,0.708,,0.744,,0.752,,0.761,,0.770,,0.768,,..,,0.832,,0.853,,0.908,,0.923,,0.932,,0.927,,..,,..,,..,,..,,..,,..,,..,,7,,7,,6,,5,,..,,..,,5,,..,,..,,..,,..,,..,,..,,0.331,,0.556,,..,,..,,0.567,,0.637,,0.625,
Belize,..,,..,,..,,..,,106.3,,91.2,,..,,..,,78.7,,..,,78.7,,..,,..,,..,,0.470,,0.524,,0.503,,..,,..,,..,,..,,0.493,,0.387,,0.398,,0.430,,0.436,,0.483,,0.553,,0.561,,0.565,,0.570,,0.588,,..,,0.862,,0.937,,0.939,,1.007,,1.043,,1.091,,..,,..,,..,,..,,..,,..,,..,,72,,32,,100,,94,,..,,..,,94,,..,,..,,..,,..,,..,,..,,0.156,,0.135,,..,,..,,0.125,,0.125,,0.125,
