,"Adult literacy rate, both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,Combined gross enrolment in education (both sexes),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Expected Years of Schooling (of children),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Mean years of schooling (of adults),,,,,,,,,,,,,,,,,,,,,,,,,,Public expenditure on education (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,b,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,c,2007,c,2008,c,2009,c,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a
Country,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),
Australia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,46.4,,43.2,,46.4,,59.4,,115.1,,112.5,,113.2,,114.2,,115.3,,112.1,,..,,..,,112.1,,17.4,,17.4,,17.4,,18.0,,18.0,,18.0,,18.0,,18.0,,18.0,,18.0,,18.0,,18.0,,18.0,,11.6,,11.6,,11.7,,11.8,,11.9,,11.9,,12.0,,12.0,,12.0,,12.0,,12.0,,12.0,b,12.0,,5.1,,5.1,,..,,..,,4.7,,4.7,,4.5,,4.5,,..,,..,,..,,..,,4.5,
Austria,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.7,,26.6,,32.9,,37.6,,90.4,,88.9,,89.4,,88.9,,90.1,,90.9,,..,,..,,90.9,,12.4,,12.9,,13.7,,14.7,,15.3,,15.0,,15.1,,15.0,,15.2,,15.3,,15.3,,15.3,,15.3,,7.4,,7.8,,8.3,,8.6,,9.1,,9.9,,10.1,,10.3,,10.5,,10.6,,10.8,,10.8,"b,h",10.8,,5.3,,5.6,,..,,..,,5.8,,5.5,,5.5,,5.4,,..,,..,,..,,..,,5.4,
Azerbaijan,..,,..,,..,,..,,..,,..,,..,,99.5,,..,,..,,..,,..,,99.5,,..,,..,,31.1,,29.5,,69.3,d,71.9,d,71.4,d,70.6,d,70.5,d,70.6,d,..,,..,,70.6,,11.3,,11.5,,10.6,,10.0,,10.7,,11.5,,11.6,,11.6,,11.6,,11.8,,11.8,,11.8,,11.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.6,,8.6,"b,i",8.6,,..,,..,,..,,..,,3.9,,2.3,,2.0,,1.7,,1.9,,2.8,,..,,..,,2.8,
Bahamas,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.2,,40.5,,..,,39.0,,68.1,d,72.0,d,71.4,d,74.1,d,..,,..,,..,,..,,74.1,d,12.0,,11.9,,11.9,,11.6,,11.5,,12.1,,12.0,,12.0,,12.0,,12.0,,12.0,,12.0,,12.0,,..,,..,,..,,..,,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,,8.5,"b,i",8.5,,..,,3.7,,..,,..,,3.3,,..,,..,,..,,..,,..,,..,,..,,3.3,
Bahrain,..,,..,,..,,..,,..,,..,,..,,..,,..,,91.4,,..,,..,,91.4,,39.5,,48.9,,..,,48.6,,..,d,..,d,..,d,..,d,..,d,..,d,..,,..,,..,d,10.0,,13.1,,13.5,,13.6,,13.4,,13.4,,13.4,,13.4,,13.4,,13.4,,13.4,,13.4,,13.4,,4.1,,5.2,,6.0,,7.2,,8.3,,9.0,,9.1,,9.2,,9.3,,9.3,,9.4,,9.4,b,9.4,,2.8,,3.8,,..,,..,,..,,..,,3.4,,3.0,,2.9,,..,,..,,..,,2.9,
Bangladesh,..,,..,,..,,..,,..,,..,,..,,..,,..,,55.9,,..,,..,,55.9,,22.8,,22.6,,26.0,,..,,..,,47.8,,48.5,,48.7,,..,,..,,..,,..,,48.7,,4.4,,4.5,,5.0,,6.0,,7.0,,8.0,,8.1,,8.1,,8.1,,8.1,,8.1,,8.1,,8.1,,2.0,,2.4,,2.9,,3.3,,3.7,,4.2,,4.3,,4.4,,4.5,,4.7,,4.8,,4.8,b,4.8,,0.9,,1.3,,..,,..,,2.4,,..,,2.5,,2.6,,2.4,,..,,..,,..,,2.4,
Barbados,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.4,,13.4,,13.4,,13.4,,13.4,,13.4,,13.4,g,13.4,,6.3,,7.4,,8.1,,8.6,,8.7,,9.2,,9.2,,9.2,,9.3,,9.3,,9.3,,9.3,b,9.3,,..,,6.0,,..,,..,,5.6,,6.9,,..,,6.9,,6.7,,-6.6,,..,,..,,-6.6,
Belarus,..,,..,,..,,..,,..,,..,,..,,..,,..,,99.7,,..,,..,,99.7,,44.2,,50.6,,50.8,,37.3,,87.5,,88.7,,89.3,,90.2,,..,,..,,..,,..,,90.2,,11.8,,12.5,,12.8,,12.3,,14.0,,14.4,,14.5,,14.6,,14.6,,14.6,,14.6,,14.6,,14.6,,..,,..,,..,,..,,..,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,"b,f",9.3,,..,,..,,..,,..,,6.2,,5.9,,6.1,,5.2,,5.1,,4.5,,..,,..,,4.5,
Belgium,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.4,,41.0,,45.0,,51.9,,108.1,,94.0,,94.1,,94.1,,94.1,,94.9,,..,,..,,94.9,,12.8,,13.2,,14.0,,17.3,,18.0,,15.9,,15.9,,15.9,,16.0,,16.1,,16.1,,16.1,,16.1,,8.0,,8.5,,9.4,,9.7,,10.0,,10.6,,10.6,,10.7,,10.8,,10.8,,10.9,,10.9,"b,h",10.9,,5.7,,5.7,,..,,..,,..,,5.9,,6.0,,6.0,,..,,..,,..,,..,,6.0,
Belize,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.6,d,76.9,d,74.9,d,74.9,d,..,,75.1,,..,,..,,75.1,d,10.7,,10.7,,10.7,,10.7,,10.9,,12.6,,12.3,,12.3,,12.4,,12.4,,12.4,,12.4,,12.4,,7.3,,7.6,,8.0,,8.5,,8.1,,7.7,,7.8,,7.8,,7.9,,7.9,,8.0,,8.0,"b,h",8.0,,2.4,,4.5,,..,,..,,5.0,,..,,..,,5.1,,5.7,,..,,..,,..,,5.7,
