,IHDI: Income Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted HDI value,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted education index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted income index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted life expectancy index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in education,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in income,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in life expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.856,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.964,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.698,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.931,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,1.7,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.6,f,16.6,,16.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.7,,4.7,,4.7,
Austria,..,,..,,..,,..,,29.1,,..,,..,,..,,..,,..,,..,,..,,29.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.820,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.838,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.715,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.920,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.4,,2.4,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.1,f,15.1,,15.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.5,,4.2,,4.5,
Azerbaijan,..,,..,,..,,35.0,,..,,..,,..,,..,,33.7,,..,,..,,..,,33.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.620,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.615,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.610,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.636,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.0,,8.3,,12.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,e,4.5,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.8,,20.6,,23.8,
Bahamas,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.658,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.618,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.588,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.782,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.0,,7.9,,8.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,24.5,e,24.5,,24.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.7,,10.9,,9.7,
Bahrain,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.815,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,6.2,,8.1,
Bangladesh,..,,..,,..,,..,,..,,31.0,,..,,..,,..,,..,,..,,..,,31.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.363,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.252,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.321,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.593,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.8,,39.4,,44.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.8,e,17.7,,14.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.3,,23.2,,25.3,
Barbados,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.814,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.1,e,..,,16.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.9,,9.2,,7.9,
Belarus,..,,..,,..,,28.8,,..,,..,,..,,..,,27.2,,..,,..,,..,,27.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.693,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.735,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.617,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.736,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.0,,5.4,,8.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.1,e,12.1,,11.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.8,,7.4,,8.8,
Belgium,..,,..,,..,,..,,33.0,,..,,..,,..,,..,,..,,..,,..,,33.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.819,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.825,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.735,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.905,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.2,,6.5,,5.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.1,f,11.7,,15.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.6,,4.4,,4.6,
Belize,..,,..,,..,,59.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.776,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.8,,..,,19.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,48.5,e,..,,48.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.4,,12.2,,12.4,
