,"Population, female (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, male (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, total both sexes (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, urban (%)",,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,a,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,a,2011,a
Country,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),
Colombia,"13,501.59",,"15,092.38",,"16,738.19",,"18,441.41",,"20,152.56",,"21,840.76",,"22,178.96",,"22,517.24",,"22,854.49",,"23,189.16",,"23,520.07",,"23,846.69",,"13,373.31",,"14,901.16",,"16,465.13",,"18,011.93",,"19,611.60",,"21,199.80",,"21,517.58",,"21,835.08",,"22,151.30",,"22,464.88",,"22,774.77",,"23,080.44",,"26,874.9",,"29,993.5",,"33,203.3",,"36,453.3",,"39,764.2",,"43,040.6",,"43,696.5",,"44,352.3",,"45,005.8",,"45,654.0",,"46,294.8",,"46,927.1",,62.1,,65.6,,68.3,,70.5,,72.1,,73.6,,73.9,,74.2,,74.5,,74.8,,75.1,,75.4,
Comoros,164.56,,192.84,,218.74,,246.76,,280.26,,319.80,,328.42,,337.26,,346.29,,355.48,,364.78,,374.20,,164.30,,192.90,,219.13,,247.73,,282.21,,323.17,,332.14,,341.34,,350.74,,360.30,,369.97,,379.74,,328.9,,385.7,,437.9,,494.5,,562.5,,643.0,,660.6,,678.6,,697.0,,715.8,,734.8,,753.9,,23.2,,25.5,,27.9,,28.3,,28.1,,27.9,,27.9,,27.9,,28.0,,28.1,,28.2,,28.3,
Congo,903.93,,"1,044.84",,"1,198.17",,"1,369.07",,"1,568.98",,"1,765.79",,"1,813.16",,"1,863.89",,"1,916.48",,"1,968.80",,"2,019.31",,"2,067.55",,894.36,,"1,036.31",,"1,190.73",,"1,363.64",,"1,566.79",,"1,767.39",,"1,815.40",,"1,866.73",,"1,919.86",,"1,972.66",,"2,023.59",,"2,072.20",,"1,798.3",,"2,081.2",,"2,388.9",,"2,732.7",,"3,135.8",,"3,533.2",,"3,628.6",,"3,730.6",,"3,836.3",,"3,941.5",,"4,042.9",,"4,139.7",,47.9,,52.2,,54.3,,56.4,,58.3,,60.2,,60.6,,60.9,,61.3,,61.7,,62.1,,62.5,
Congo (Democratic Republic of the),"13,777.52",,"15,767.18",,"18,428.93",,"22,245.52",,"24,999.76",,"28,879.41",,"29,712.53",,"30,554.67",,"31,407.27",,"32,274.02",,"33,157.50",,"34,056.79",,"13,241.17",,"15,276.98",,"17,977.29",,"21,821.85",,"24,626.44",,"28,541.11",,"29,375.88",,"30,217.50",,"31,067.63",,"31,930.28",,"32,808.30",,"33,700.79",,"27,018.7",,"31,044.2",,"36,406.2",,"44,067.4",,"49,626.2",,"57,420.5",,"59,088.4",,"60,772.2",,"62,474.9",,"64,204.3",,"65,965.8",,"67,757.6",,28.7,,28.0,,27.8,,28.4,,29.8,,32.1,,32.7,,33.3,,33.9,,34.6,,35.2,,35.9,
Costa Rica,"1,149.12",,"1,321.51",,"1,508.91",,"1,705.60",,"1,927.61",,"2,120.21",,"2,156.06",,"2,191.15",,"2,225.65",,"2,259.77",,"2,293.64",,"2,327.34",,"1,194.22",,"1,370.27",,"1,561.33",,"1,763.32",,"1,991.57",,"2,189.20",,"2,225.76",,"2,261.46",,"2,296.48",,"2,331.02",,"2,365.25",,"2,399.24",,"2,343.3",,"2,691.8",,"3,070.2",,"3,468.9",,"3,919.2",,"4,309.4",,"4,381.8",,"4,452.6",,"4,522.1",,"4,590.8",,"4,658.9",,"4,726.6",,43.1,,45.6,,50.7,,55.8,,59.0,,61.8,,62.3,,62.8,,63.4,,63.9,,64.4,,64.9,
Croatia,"2,258.12",,"2,307.50",,"2,331.80",,"2,418.78",,"2,335.09",,"2,303.60",,"2,299.48",,"2,295.48",,"2,291.51",,"2,287.54",,"2,283.53",,"2,279.36",,"2,118.49",,"2,163.90",,"2,185.40",,"2,250.23",,"2,170.44",,"2,138.38",,"2,134.31",,"2,130.51",,"2,126.87",,"2,123.32",,"2,119.80",,"2,116.20",,"4,376.6",,"4,471.4",,"4,517.2",,"4,669.0",,"4,505.5",,"4,442.0",,"4,433.8",,"4,426.0",,"4,418.4",,"4,410.9",,"4,403.3",,"4,395.6",,50.1,,52.3,,54.0,,54.9,,55.6,,56.5,,56.7,,56.9,,57.2,,57.4,,57.7,,58.0,
Cuba,"4,847.13",,"4,992.98",,"5,243.31",,"5,411.62",,"5,524.67",,"5,594.53",,"5,599.23",,"5,600.65",,"5,599.71",,"5,597.69",,"5,595.55",,"5,593.65",,"4,965.10",,"5,076.21",,"5,327.02",,"5,489.17",,"5,579.65",,"5,659.71",,"5,665.90",,"5,668.04",,"5,667.20",,"5,664.94",,"5,662.43",,"5,660.01",,"9,812.2",,"10,069.2",,"10,570.3",,"10,900.8",,"11,104.3",,"11,254.2",,"11,265.1",,"11,268.7",,"11,266.9",,"11,262.6",,"11,258.0",,"11,253.7",,68.1,,70.9,,73.4,,74.3,,75.6,,75.6,,75.5,,75.4,,75.4,,75.3,,75.2,,75.2,
Cyprus,340.32,,348.25,,377.99,,423.59,,467.84,,510.34,,517.15,,523.28,,528.96,,534.55,,540.30,,546.28,,345.19,,355.50,,388.67,,431.83,,475.46,,522.22,,531.12,,539.75,,548.04,,555.92,,563.35,,570.28,,685.5,,703.8,,766.7,,855.4,,943.3,,"1,032.6",,"1,048.3",,"1,063.0",,"1,077.0",,"1,090.5",,"1,103.6",,"1,116.6",,58.6,,64.7,,66.8,,68.0,,68.6,,69.4,,69.6,,69.8,,70.0,,70.1,,70.3,,70.5,
Czech Republic,"5,289.66",,"5,304.93",,"5,302.04",,"5,304.04",,"5,257.02",,"5,239.72",,"5,253.98",,"5,275.03",,"5,299.98",,"5,324.70",,"5,346.18",,"5,363.35",,"4,971.95",,"4,995.91",,"5,000.68",,"5,015.29",,"4,985.87",,"4,980.92",,"5,004.82",,"5,038.49",,"5,077.38",,"5,115.03",,"5,146.78",,"5,170.94",,"10,261.6",,"10,300.8",,"10,302.7",,"10,319.3",,"10,242.9",,"10,220.6",,"10,258.8",,"10,313.5",,"10,377.4",,"10,439.7",,"10,493.0",,"10,534.3",,75.2,,75.4,,75.2,,74.6,,74.0,,73.5,,73.5,,73.5,,73.5,,73.5,,73.5,,73.6,
Côte d'Ivoire,"4,073.81",,"5,027.87",,"6,016.88",,"7,071.16",,"8,041.99",,"8,791.03",,"8,949.71",,"9,116.21",,"9,292.45",,"9,480.12",,"9,680.28",,"9,894.21",,"4,427.18",,"5,466.96",,"6,500.85",,"7,606.05",,"8,539.66",,"9,229.91",,"9,376.27",,"9,530.54",,"9,694.56",,"9,869.90",,"10,057.52",,"10,258.69",,"8,501.0",,"10,494.8",,"12,517.7",,"14,677.2",,"16,581.7",,"18,020.9",,"18,326.0",,"18,646.8",,"18,987.0",,"19,350.0",,"19,737.8",,"20,152.9",,36.9,,38.3,,39.7,,41.4,,43.5,,46.8,,47.5,,48.3,,49.0,,49.8,,50.6,,51.3,
Denmark,"2,594.39",,"2,594.85",,"2,607.48",,"2,650.57",,"2,700.31",,"2,737.87",,"2,748.69",,"2,761.02",,"2,774.12",,"2,786.90",,"2,798.58",,"2,808.92",,"2,528.64",,"2,518.85",,"2,533.55",,"2,582.80",,"2,639.19",,"2,681.58",,"2,693.96",,"2,708.11",,"2,723.19",,"2,737.97",,"2,751.56",,"2,763.68",,"5,123.0",,"5,113.7",,"5,141.0",,"5,233.4",,"5,339.5",,"5,419.4",,"5,442.6",,"5,469.1",,"5,497.3",,"5,524.9",,"5,550.1",,"5,572.6",,83.7,,84.4,,84.8,,85.0,,85.1,,85.9,,86.1,,86.3,,86.5,,86.7,,86.9,,87.1,
Djibouti,170.99,,202.42,,281.93,,313.82,,366.33,,404.28,,411.87,,419.70,,427.73,,435.90,,444.17,,452.54,,169.14,,200.80,,280.36,,312.72,,365.60,,404.09,,411.81,,419.75,,427.90,,436.19,,444.55,,453.02,,340.1,,403.2,,562.3,,626.5,,731.9,,808.4,,823.7,,839.5,,855.6,,872.1,,888.7,,905.6,,72.1,,74.6,,75.7,,76.1,,76.0,,76.0,,76.0,,76.1,,76.1,,76.2,,76.2,,76.3,
Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,75.3,,73.6,,70.9,,71.4,,69.7,,68.9,,68.7,,68.4,,68.2,,67.9,,67.8,,67.7,,63.4,,66.0,,67.7,,67.6,,67.2,,66.9,,67.0,,67.0,,67.1,,67.1,,67.2,,67.4,
Dominican Republic,"2,864.55",,"3,207.82",,"3,565.01",,"3,929.23",,"4,270.59",,"4,609.36",,"4,677.39",,"4,745.46",,"4,813.34",,"4,880.70",,"4,947.28",,"5,012.98",,"2,929.52",,"3,274.33",,"3,629.66",,"3,987.08",,"4,321.38",,"4,654.91",,"4,720.90",,"4,786.50",,"4,851.61",,"4,916.16",,"4,980.04",,"5,043.20",,"5,794.1",,"6,482.2",,"7,194.7",,"7,916.3",,"8,592.0",,"9,264.3",,"9,398.3",,"9,532.0",,"9,664.9",,"9,796.9",,"9,927.3",,"10,056.2",,51.3,,53.9,,55.2,,57.6,,61.7,,65.7,,66.4,,67.1,,67.8,,68.5,,69.2,,69.8,
Ecuador,"3,957.07",,"4,520.30",,"5,103.15",,"5,665.08",,"6,147.33",,"6,693.38",,"6,801.37",,"6,907.79",,"7,012.78",,"7,116.75",,"7,219.97",,"7,322.33",,"4,000.74",,"4,570.29",,"5,157.44",,"5,719.43",,"6,197.69",,"6,733.03",,"6,838.34",,"6,941.93",,"7,043.96",,"7,144.82",,"7,244.77",,"7,343.73",,"7,957.8",,"9,090.6",,"10,260.6",,"11,384.5",,"12,345.0",,"13,426.4",,"13,639.7",,"13,849.7",,"14,056.7",,"14,261.6",,"14,464.7",,"14,666.1",,47.0,,51.2,,55.1,,57.8,,60.3,,63.6,,64.3,,65.0,,65.7,,66.3,,66.9,,67.6,
Egypt,"22,429.14",,"25,237.81",,"28,276.28",,"30,874.34",,"33,613.60",,"36,898.57",,"37,587.56",,"38,281.60",,"38,979.84",,"39,682.01",,"40,387.48",,"41,095.04",,"22,523.35",,"25,421.82",,"28,567.00",,"31,189.47",,"34,034.82",,"37,304.65",,"37,980.90",,"38,659.97",,"39,343.46",,"40,034.20",,"40,733.60",,"41,441.73",,"44,952.5",,"50,659.6",,"56,843.3",,"62,063.8",,"67,648.4",,"74,203.2",,"75,568.5",,"76,941.6",,"78,323.3",,"79,716.2",,"81,121.1",,"82,536.8",,43.9,,43.9,,43.5,,42.8,,42.8,,43.0,,43.1,,43.1,,43.2,,43.3,,43.4,,43.5,
El Salvador,"2,369.58",,"2,559.49",,"2,740.42",,"2,958.52",,"3,077.63",,"3,159.16",,"3,175.86",,"3,193.35",,"3,211.74",,"3,231.04",,"3,251.26",,"3,272.49",,"2,286.69",,"2,436.40",,"2,592.43",,"2,774.88",,"2,862.68",,"2,891.36",,"2,898.63",,"2,907.52",,"2,917.89",,"2,929.38",,"2,941.73",,"2,955.00",,"4,656.3",,"4,995.9",,"5,332.8",,"5,733.4",,"5,940.3",,"6,050.5",,"6,074.5",,"6,100.9",,"6,129.6",,"6,160.4",,"6,193.0",,"6,227.5",,44.1,,46.6,,49.2,,54.0,,58.9,,61.6,,62.2,,62.7,,63.3,,63.8,,64.3,,64.8,
Equatorial Guinea,113.22,,153.41,,183.01,,216.39,,253.99,,296.02,,304.80,,313.67,,322.69,,331.93,,341.41,,351.15,,107.36,,159.23,,190.88,,226.14,,266.39,,311.72,,320.98,,330.27,,339.63,,349.19,,358.99,,369.06,,220.6,,312.6,,373.9,,442.5,,520.4,,607.7,,625.8,,643.9,,662.3,,681.1,,700.4,,720.2,,27.9,,29.9,,34.7,,38.8,,38.8,,38.9,,39.0,,39.2,,39.3,,39.5,,39.7,,39.9,
Eritrea,"1,252.99",,"1,429.19",,"1,609.33",,"1,645.59",,"1,872.40",,"2,284.32",,"2,364.13",,"2,440.17",,"2,514.12",,"2,588.76",,"2,666.03",,"2,746.32",,"1,215.91",,"1,377.26",,"1,548.97",,"1,566.92",,"1,795.17",,"2,201.83",,"2,281.71",,"2,358.40",,"2,433.40",,"2,509.24",,"2,587.64",,"2,668.96",,"2,468.9",,"2,806.5",,"3,158.3",,"3,212.5",,"3,667.6",,"4,486.2",,"4,645.8",,"4,798.6",,"4,947.5",,"5,098.0",,"5,253.7",,"5,415.3",,14.4,,15.2,,15.8,,16.6,,17.8,,19.4,,19.8,,20.2,,20.6,,21.1,,21.6,,22.1,
Estonia,791.62,,816.38,,834.59,,773.35,,738.74,,726.10,,725.10,,724.41,,723.90,,723.47,,722.99,,722.40,,681.27,,709.41,,733.05,,667.36,,632.01,,619.76,,618.94,,618.47,,618.24,,618.16,,618.15,,618.14,,"1,472.9",,"1,525.8",,"1,567.6",,"1,440.7",,"1,370.7",,"1,345.9",,"1,344.0",,"1,342.9",,"1,342.1",,"1,341.6",,"1,341.1",,"1,340.5",,69.7,,70.8,,71.1,,70.0,,69.4,,69.4,,69.4,,69.4,,69.4,,69.5,,69.5,,69.5,
Ethiopia,"17,853.15",,"20,700.03",,"24,344.64",,"28,710.81",,"32,981.45",,"37,321.03",,"38,185.82",,"39,048.79",,"39,913.64",,"40,785.53",,"41,667.96",,"42,562.21",,"17,573.14",,"20,377.48",,"23,988.62",,"28,331.39",,"32,596.45",,"36,942.84",,"37,807.58",,"38,669.65",,"39,532.78",,"40,402.22",,"41,281.58",,"42,172.05",,"35,426.3",,"41,077.5",,"48,333.3",,"57,042.2",,"65,577.9",,"74,263.9",,"75,993.4",,"77,718.4",,"79,446.4",,"81,187.8",,"82,949.5",,"84,734.3",,10.4,,11.5,,12.6,,13.9,,14.9,,15.9,,16.1,,16.2,,16.3,,16.5,,16.7,,16.8,
Fiji,313.67,,351.17,,358.44,,381.46,,399.45,,403.14,,405.60,,408.97,,412.99,,417.23,,421.37,,425.33,,321.63,,360.54,,369.96,,394.19,,412.27,,419.42,,422.45,,426.30,,430.66,,435.09,,439.26,,443.08,,635.3,,711.7,,728.4,,775.7,,811.7,,822.6,,828.0,,835.3,,843.7,,852.3,,860.6,,868.4,,37.8,,38.5,,41.6,,45.5,,47.9,,49.9,,50.3,,50.7,,51.1,,51.5,,51.9,,52.3,
Finland,"2,468.68",,"2,528.71",,"2,566.99",,"2,621.12",,"2,648.02",,"2,677.31",,"2,687.01",,"2,698.23",,"2,710.18",,"2,721.78",,"2,732.24",,"2,741.25",,"2,310.81",,"2,373.50",,"2,419.45",,"2,486.68",,"2,525.35",,"2,567.04",,"2,578.93",,"2,592.21",,"2,606.15",,"2,619.76",,"2,632.31",,"2,643.52",,"4,779.5",,"4,902.2",,"4,986.4",,"5,107.8",,"5,173.4",,"5,244.3",,"5,265.9",,"5,290.4",,"5,316.3",,"5,341.5",,"5,364.5",,"5,384.8",,71.7,,75.8,,79.4,,81.0,,82.2,,83.7,,84.0,,84.3,,84.5,,84.8,,85.1,,85.4,f
France,"27,569.76",,"28,341.31",,"29,109.25",,"29,732.32",,"30,374.13",,"31,357.70",,"31,547.67",,"31,729.37",,"31,903.70",,"32,072.96",,"32,238.81",,"32,400.97",,"26,310.39",,"26,940.16",,"27,599.01",,"28,112.18",,"28,673.66",,"29,638.81",,"29,830.39",,"30,015.23",,"30,194.71",,"30,371.81",,"30,548.62",,"30,724.92",,"53,880.1",,"55,281.5",,"56,708.3",,"57,844.5",,"59,047.8",,"60,996.5",,"61,378.1",,"61,744.6",,"62,098.4",,"62,444.8",,"62,787.4",,"63,125.9",,73.3,,73.7,,74.1,,74.9,,76.9,,81.6,,82.4,,83.2,,83.9,,84.6,,85.3,,85.9,
Gabon,346.81,,401.99,,469.07,,547.55,,620.86,,685.42,,698.07,,710.79,,723.67,,736.86,,750.45,,764.50,,335.83,,391.82,,459.97,,539.78,,614.41,,685.31,,699.12,,712.85,,726.64,,740.65,,755.01,,769.76,,682.6,,793.8,,929.0,,"1,087.3",,"1,235.3",,"1,370.7",,"1,397.2",,"1,423.6",,"1,450.3",,"1,477.5",,"1,505.5",,"1,534.3",,54.7,,62.4,,69.1,,75.4,,80.1,,83.6,,84.2,,84.7,,85.2,,85.6,,86.0,,86.4,
Gambia,318.35,,386.40,,481.03,,564.13,,654.21,,760.10,,782.36,,804.89,,827.75,,851.06,,874.88,,899.23,,311.44,,382.06,,485.13,,562.05,,642.87,,743.58,,764.90,,786.47,,808.36,,830.68,,853.52,,876.88,,629.8,,768.5,,966.2,,"1,126.2",,"1,297.1",,"1,503.7",,"1,547.3",,"1,591.4",,"1,636.1",,"1,681.7",,"1,728.4",,"1,776.1",,28.4,,33.0,,38.3,,43.8,,49.1,,53.9,,54.8,,55.7,,56.5,,57.3,,58.1,,58.9,
Georgia,"2,692.35",,"2,790.21",,"2,864.99",,"2,661.89",,"2,499.48",,"2,364.76",,"2,347.68",,"2,334.29",,"2,323.34",,"2,313.12",,"2,302.30",,"2,290.47",,"2,380.65",,"2,496.79",,"2,595.01",,"2,407.38",,"2,246.29",,"2,112.25",,"2,095.14",,"2,081.67",,"2,070.68",,"2,060.51",,"2,049.94",,"2,038.56",,"5,073.0",,"5,287.0",,"5,460.0",,"5,069.3",,"4,745.8",,"4,477.0",,"4,442.8",,"4,416.0",,"4,394.0",,"4,373.6",,"4,352.2",,"4,329.0",,52.5,,54.2,,55.0,,53.8,,52.6,,52.5,,52.5,,52.6,,52.6,,52.7,,52.7,,52.8,
Germany,"41,031.75",,"40,625.88",,"41,001.70",,"42,075.28",,"42,166.53",,"42,164.53",,"42,145.64",,"42,120.23",,"42,084.24",,"42,032.38",,"41,961.69",,"41,869.52",,"37,256.83",,"37,058.99",,"38,096.40",,"39,854.16",,"40,182.50",,"40,376.21",,"40,390.50",,"40,396.07",,"40,391.03",,"40,372.99",,"40,340.77",,"40,292.99",,"78,288.6",,"77,684.9",,"79,098.1",,"81,929.4",,"82,349.0",,"82,540.7",,"82,536.1",,"82,516.3",,"82,475.3",,"82,405.4",,"82,302.5",,"82,162.5",,72.8,,72.7,,73.1,,73.3,,73.1,,73.4,,73.4,,73.5,,73.6,,73.7,,73.8,,74.0,
Ghana,"5,385.14",,"6,346.53",,"7,286.76",,"8,366.39",,"9,427.27",,"10,636.46",,"10,895.91",,"11,160.84",,"11,430.75",,"11,704.97",,"11,982.94",,"12,264.38",,"5,537.56",,"6,525.43",,"7,506.66",,"8,630.51",,"9,738.22",,"11,003.35",,"11,274.65",,"11,551.56",,"11,833.42",,"12,119.43",,"12,408.88",,"12,701.44",,"10,922.7",,"12,872.0",,"14,793.4",,"16,996.9",,"19,165.5",,"21,639.8",,"22,170.6",,"22,712.4",,"23,264.2",,"23,824.4",,"24,391.8",,"24,965.8",,31.2,,32.9,,36.4,,40.1,,44.0,,47.8,,48.5,,49.3,,50.0,,50.7,,51.5,,52.2,
Greece,"4,909.17",,"5,047.40",,"5,154.07",,"5,405.46",,"5,564.12",,"5,660.39",,"5,677.21",,"5,693.80",,"5,709.99",,"5,725.42",,"5,739.83",,"5,753.25",,"4,733.33",,"4,886.89",,"5,006.43",,"5,266.35",,"5,422.76",,"5,522.73",,"5,542.10",,"5,561.92",,"5,581.82",,"5,601.18",,"5,619.51",,"5,636.78",,"9,642.5",,"9,934.3",,"10,160.5",,"10,671.8",,"10,986.9",,"11,183.1",,"11,219.3",,"11,255.7",,"11,291.8",,"11,326.6",,"11,359.3",,"11,390.0",,57.7,,58.4,,58.8,,59.3,,59.7,,60.4,,60.5,,60.7,,60.9,,61.2,,61.4,,61.7,
Grenada,45.97,,51.16,,48.72,,50.61,,51.31,,51.64,,51.73,,51.85,,51.97,,52.11,,52.26,,52.42,,42.97,,48.66,,47.48,,49.56,,50.21,,51.10,,51.31,,51.52,,51.75,,51.98,,52.23,,52.47,,88.9,,99.8,,96.2,,100.2,,101.5,,102.7,,103.0,,103.4,,103.7,,104.1,,104.5,,104.9,,32.9,,33.2,,33.4,,34.5,,35.9,,37.4,,37.7,,38.1,,38.5,,38.9,,39.3,,39.7,
Guatemala,"3,483.60",,"3,942.61",,"4,429.22",,"5,040.07",,"5,721.01",,"6,513.61",,"6,679.90",,"6,848.22",,"7,019.60",,"7,195.53",,"7,377.05",,"7,564.44",,"3,552.89",,"4,012.08",,"4,493.91",,"4,975.61",,"5,516.09",,"6,203.54",,"6,355.00",,"6,510.62",,"6,671.25",,"6,838.09",,"7,011.88",,"7,192.88",,"7,036.5",,"7,954.7",,"8,923.1",,"10,015.7",,"11,237.1",,"12,717.2",,"13,034.9",,"13,358.8",,"13,690.8",,"14,033.6",,"14,388.9",,"14,757.3",,37.4,,39.2,,41.1,,43.1,,45.1,,47.2,,47.6,,48.1,,48.5,,49.0,,49.5,,49.9,
Guinea,"2,192.19",,"2,445.28",,"2,856.71",,"3,749.08",,"4,132.95",,"4,475.61",,"4,554.49",,"4,638.87",,"4,730.08",,"4,829.50",,"4,937.97",,"5,056.28",,"2,214.65",,"2,478.32",,"2,902.66",,"3,816.16",,"4,211.53",,"4,565.84",,"4,647.46",,"4,734.75",,"4,829.04",,"4,931.72",,"5,043.62",,"5,165.53",,"4,406.8",,"4,923.6",,"5,759.4",,"7,565.2",,"8,344.5",,"9,041.4",,"9,201.9",,"9,373.6",,"9,559.1",,"9,761.2",,"9,981.6",,"10,221.8",,23.6,,26.6,,28.0,,29.5,,31.0,,33.0,,33.4,,33.9,,34.4,,34.9,,35.4,,35.9,
Guinea-Bissau,422.38,,466.17,,513.91,,568.55,,626.41,,690.17,,704.12,,718.53,,733.37,,748.62,,764.26,,780.27,,412.24,,455.72,,502.79,,556.84,,614.24,,677.53,,691.37,,705.67,,720.39,,735.50,,750.97,,766.79,,834.6,,921.9,,"1,016.7",,"1,125.4",,"1,240.7",,"1,367.7",,"1,395.5",,"1,424.2",,"1,453.8",,"1,484.1",,"1,515.2",,"1,547.1",,17.6,,22.4,,28.1,,29.8,,29.7,,29.6,,29.6,,29.7,,29.8,,29.9,,30.0,,30.2,
Guyana,391.75,,380.62,,368.79,,366.77,,366.82,,370.93,,371.87,,372.79,,373.70,,374.61,,375.51,,376.39,,385.11,,371.02,,356.14,,361.21,,366.28,,375.30,,376.45,,377.28,,377.87,,378.41,,378.99,,379.65,,776.9,,751.6,,724.9,,728.0,,733.1,,746.2,,748.3,,750.1,,751.6,,753.0,,754.5,,756.0,,30.5,,30.0,,29.6,,29.1,,28.7,,28.3,,28.3,,28.4,,28.4,,28.5,,28.6,,28.7,
Haiti,"2,889.64",,"3,247.09",,"3,610.55",,"3,983.19",,"4,362.85",,"4,713.95",,"4,779.84",,"4,844.35",,"4,908.12",,"4,971.97",,"5,036.50",,"5,101.95",,"2,798.17",,"3,148.10",,"3,514.32",,"3,894.38",,"4,282.52",,"4,633.31",,"4,699.30",,"4,764.10",,"4,828.21",,"4,892.28",,"4,956.75",,"5,021.84",,"5,687.8",,"6,395.2",,"7,124.9",,"7,877.6",,"8,645.4",,"9,347.3",,"9,479.1",,"9,608.5",,"9,736.3",,"9,864.2",,"9,993.2",,"10,123.8",,20.5,,23.3,,28.5,,32.6,,35.6,,44.1,,45.8,,47.4,,49.0,,50.6,,52.1,,53.6,
Honduras,"1,806.68",,"2,106.62",,"2,439.21",,"2,785.29",,"3,112.94",,"3,449.08",,"3,517.70",,"3,586.88",,"3,657.03",,"3,728.75",,"3,802.39",,"3,878.11",,"1,820.96",,"2,119.25",,"2,450.11",,"2,789.81",,"3,105.22",,"3,430.17",,"3,500.07",,"3,571.94",,"3,645.71",,"3,721.17",,"3,798.14",,"3,876.58",,"3,627.6",,"4,225.9",,"4,889.3",,"5,575.1",,"6,218.2",,"6,879.2",,"7,017.8",,"7,158.8",,"7,302.7",,"7,449.9",,"7,600.5",,"7,754.7",,34.9,,37.7,,40.5,,42.9,,45.5,,48.6,,49.2,,49.8,,50.4,,51.0,,51.6,,52.2,
"Hong Kong, China (SAR)","2,413.45",,"2,611.20",,"2,831.49",,"3,070.21",,"3,479.04",,"3,544.38",,"3,565.91",,"3,596.06",,"3,632.74",,"3,672.11",,"3,711.34",,"3,750.29",,"2,640.10",,"2,803.43",,"2,962.37",,"3,074.10",,"3,304.28",,"3,265.48",,"3,267.08",,"3,276.72",,"3,293.63",,"3,315.86",,"3,341.85",,"3,371.89",,"5,053.6",,"5,414.6",,"5,793.9",,"6,144.3",,"6,783.3",,"6,809.9",,"6,833.0",,"6,872.8",,"6,926.4",,"6,988.0",,"7,053.2",,"7,122.2",,91.5,,92.9,,99.5,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,
Hungary,"5,516.55",,"5,458.39",,"5,393.74",,"5,395.47",,"5,352.05",,"5,298.17",,"5,287.10",,"5,276.07",,"5,265.16",,"5,254.46",,"5,244.01",,"5,233.87",,"5,181.99",,"5,084.12",,"4,982.59",,"4,935.94",,"4,858.50",,"4,788.77",,"4,777.18",,"4,766.50",,"4,756.73",,"4,747.79",,"4,739.63",,"4,732.25",,"10,698.5",,"10,542.5",,"10,376.3",,"10,331.4",,"10,210.5",,"10,086.9",,"10,064.3",,"10,042.6",,"10,021.9",,"10,002.2",,"9,983.6",,"9,966.1",,64.2,,65.1,,65.8,,65.2,,64.6,,66.3,,66.6,,67.0,,67.4,,67.7,,68.1,,68.5,
Iceland,113.13,,119.96,,126.89,,133.37,,140.44,,147.55,,149.59,,151.87,,154.28,,156.67,,158.91,,160.97,,115.03,,121.44,,127.90,,134.11,,140.77,,149.19,,151.42,,153.86,,156.39,,158.88,,161.23,,163.40,,228.2,,241.4,,254.8,,267.5,,281.2,,296.7,,301.0,,305.7,,310.7,,315.5,,320.1,,324.4,,88.3,,89.6,,90.8,,91.6,,92.4,,92.9,,93.0,,93.1,,93.2,,93.3,,93.4,,93.5,
India,"335,565.02",,"376,461.94",,"419,620.80",,"463,667.24",,"507,381.86",,"549,956.50",,"558,402.24",,"566,829.82",,"575,245.72",,"583,657.46",,"592,067.55",,"600,477.34",,"364,493.57",,"408,028.91",,"454,164.65",,"500,818.92",,"546,516.25",,"590,086.36",,"598,636.30",,"607,141.81",,"615,617.96",,"624,082.94",,"632,546.78",,"641,014.62",,"700,058.6",,"784,490.8",,"873,785.4",,"964,486.2",,"1,053,898.1",,"1,140,042.9",,"1,157,038.5",,"1,173,971.6",,"1,190,863.7",,"1,207,740.4",,"1,224,614.3",,"1,241,492.0",,23.1,,24.3,,25.5,,26.6,,27.7,,28.7,,29.0,,29.2,,29.4,,29.7,,30.0,,30.3,
