,"Population, female (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, male (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, total both sexes (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, urban (%)",,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,a,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,a,2011,a
Country,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),
Australia,"7,365.17",,"7,920.60",,"8,574.15",,"9,105.42",,"9,657.65",,"10,270.44",,"10,436.33",,"10,618.90",,"10,810.05",,"10,998.41",,"11,175.72",,"11,338.99",,"7,344.75",,"7,891.49",,"8,522.00",,"9,013.00",,"9,506.71",,"10,133.08",,"10,307.97",,"10,501.09",,"10,703.76",,"10,903.89",,"11,092.66",,"11,266.74",,"14,709.9",,"15,812.1",,"17,096.2",,"18,118.4",,"19,164.4",,"20,403.5",,"20,744.3",,"21,120.0",,"21,513.8",,"21,902.3",,"22,268.4",,"22,605.7",,85.8,,85.5,,85.4,,86.1,,87.2,,88.2,,88.4,,88.6,,88.8,,88.9,,89.1,,89.3,b
Austria,"3,981.81",,"3,970.62",,"3,999.21",,"4,107.91",,"4,133.27",,"4,231.34",,"4,248.83",,"4,264.26",,"4,277.54",,"4,288.79",,"4,298.14",,"4,305.39",,"3,566.99",,"3,589.00",,"3,671.30",,"3,827.72",,"3,871.45",,"4,000.86",,"4,024.38",,"4,045.52",,"4,064.26",,"4,080.85",,"4,095.51",,"4,108.04",,"7,548.8",,"7,559.6",,"7,670.5",,"7,935.6",,"8,004.7",,"8,232.2",,"8,273.2",,"8,309.8",,"8,341.8",,"8,369.6",,"8,393.6",,"8,413.4",,65.4,,65.6,,65.8,,65.8,,65.8,,66.5,,66.7,,66.9,,67.1,,67.3,,67.6,,67.8,
Azerbaijan,"3,160.96",,"3,422.01",,"3,683.17",,"3,971.31",,"4,159.76",,"4,370.36",,"4,421.13",,"4,475.08",,"4,531.15",,"4,587.83",,"4,643.94",,"4,699.04",,"2,999.54",,"3,248.15",,"3,528.52",,"3,793.49",,"3,950.96",,"4,217.55",,"4,280.59",,"4,345.93",,"4,412.45",,"4,478.78",,"4,543.84",,"4,606.99",,"6,160.5",,"6,670.2",,"7,211.7",,"7,764.8",,"8,110.7",,"8,587.9",,"8,701.7",,"8,821.0",,"8,943.6",,"9,066.6",,"9,187.8",,"9,306.0",,52.8,,53.5,,53.7,,52.2,,51.2,,51.5,,51.6,,51.7,,51.7,,51.8,,51.9,,52.1,
Bahamas,106.04,,118.15,,129.03,,141.51,,152.66,,163.45,,165.78,,168.17,,170.59,,172.96,,175.23,,177.39,,104.56,,116.40,,127.09,,138.26,,144.99,,155.91,,158.29,,160.69,,163.07,,165.40,,167.65,,169.79,,210.6,,234.6,,256.1,,279.8,,297.7,,319.4,,324.1,,328.9,,333.7,,338.4,,342.9,,347.2,,73.1,,76.7,,79.8,,81.0,,82.0,,83.1,,83.3,,83.5,,83.7,,83.9,,84.1,,84.3,
Bahrain,148.65,,178.57,,208.31,,236.49,,271.97,,309.66,,336.45,,370.95,,409.00,,444.76,,474.00,,495.23,,209.30,,238.36,,284.58,,322.58,,366.22,,415.15,,474.96,,554.79,,643.36,,724.82,,787.84,,828.30,,358.0,,416.9,,492.9,,559.1,,638.2,,724.8,,811.4,,925.7,,"1,052.4",,"1,169.6",,"1,261.8",,"1,323.5",,86.1,,87.2,,88.1,,88.4,,88.4,,88.4,,88.4,,88.5,,88.5,,88.6,,88.6,,88.7,
Bangladesh,"39,392.08",,"44,805.64",,"51,117.32",,"57,166.98",,"63,157.00",,"68,725.06",,"69,708.20",,"70,642.88",,"71,549.40",,"72,456.15",,"73,383.33",,"74,338.17",,"41,232.34",,"47,477.96",,"54,138.71",,"60,319.98",,"66,435.28",,"71,862.86",,"72,645.30",,"73,313.93",,"73,928.90",,"74,574.00",,"75,308.80",,"76,155.49",,"80,624.4",,"92,283.6",,"105,256.0",,"117,487.0",,"129,592.3",,"140,587.9",,"142,353.5",,"143,956.8",,"145,478.3",,"147,030.1",,"148,692.1",,"150,493.7",,14.9,,17.5,,19.8,,21.7,,23.6,,25.7,,26.1,,26.6,,27.1,,27.6,,28.1,,28.6,
Barbados,130.33,,132.64,,134.74,,134.53,,134.50,,136.14,,136.47,,136.78,,137.08,,137.37,,137.68,,138.00,,118.47,,121.78,,124.76,,128.89,,133.01,,134.37,,134.59,,134.84,,135.10,,135.38,,135.65,,135.93,,248.8,,254.4,,259.5,,263.4,,267.5,,270.5,,271.1,,271.6,,272.2,,272.8,,273.3,,273.9,,39.6,,36.0,,32.7,,35.5,,38.3,,41.3,,42.0,,42.6,,43.2,,43.8,,44.5,,45.1,
Belarus,"5,173.01",,"5,336.18",,"5,451.48",,"5,448.27",,"5,343.87",,"5,238.21",,"5,216.40",,"5,194.39",,"5,172.72",,"5,152.12",,"5,133.10",,"5,115.85",,"4,485.50",,"4,662.33",,"4,808.22",,"4,825.96",,"4,713.94",,"4,586.90",,"4,560.42",,"4,533.84",,"4,507.97",,"4,483.90",,"4,462.33",,"4,443.59",,"9,658.5",,"9,998.5",,"10,259.7",,"10,274.2",,"10,057.8",,"9,825.1",,"9,776.8",,"9,728.2",,"9,680.7",,"9,636.0",,"9,595.4",,"9,559.4",,56.5,,61.8,,66.0,,67.9,,69.9,,72.2,,72.6,,73.1,,73.6,,74.2,,74.7,,75.2,
Belgium,"5,035.40",,"5,049.80",,"5,090.50",,"5,151.03",,"5,197.59",,"5,317.95",,"5,347.72",,"5,378.58",,"5,409.03",,"5,437.13",,"5,461.54",,"5,481.55",,"4,811.90",,"4,790.32",,"4,858.52",,"4,928.84",,"4,978.10",,"5,096.26",,"5,127.28",,"5,160.18",,"5,193.14",,"5,223.81",,"5,250.53",,"5,272.50",,"9,847.3",,"9,840.1",,"9,949.0",,"10,079.9",,"10,175.7",,"10,414.2",,"10,475.0",,"10,538.8",,"10,602.2",,"10,660.9",,"10,712.1",,"10,754.1",,95.4,,95.9,,96.4,,96.8,,97.1,,97.3,,97.3,,97.3,,97.4,,97.4,,97.4,,97.4,
Belize,72.62,,83.80,,96.24,,111.56,,126.95,,142.39,,145.48,,148.56,,151.66,,154.78,,157.93,,161.12,,71.21,,81.99,,94.00,,108.75,,123.56,,138.55,,141.56,,144.56,,147.58,,150.62,,153.69,,156.80,,143.8,,165.8,,190.2,,220.3,,250.5,,280.9,,287.0,,293.1,,299.2,,305.4,,311.6,,317.9,,49.4,,48.4,,47.5,,47.5,,47.8,,50.2,,50.6,,51.0,,51.4,,51.8,,52.2,,52.7,
Benin,"1,902.32",,"2,170.48",,"2,489.49",,"2,914.69",,"3,353.37",,"3,893.15",,"4,008.38",,"4,125.39",,"4,244.07",,"4,364.35",,"4,486.22",,"4,609.53",,"1,708.26",,"1,969.70",,"2,283.65",,"2,736.45",,"3,164.44",,"3,740.61",,"3,863.33",,"3,987.18",,"4,111.91",,"4,237.42",,"4,363.68",,"4,490.39",,"3,610.6",,"4,140.2",,"4,773.1",,"5,651.1",,"6,517.8",,"7,633.8",,"7,871.7",,"8,112.6",,"8,356.0",,"8,601.8",,"8,849.9",,"9,099.9",,27.3,,30.8,,34.5,,36.8,,38.3,,40.0,,40.4,,40.8,,41.2,,41.6,,42.0,,42.5,
Bhutan,207.63,,237.84,,272.17,,254.84,,281.61,,312.76,,318.78,,324.64,,330.38,,336.04,,341.68,,347.29,,223.00,,252.60,,286.33,,263.74,,289.65,,346.54,,355.90,,363.94,,370.99,,377.62,,384.26,,390.98,,430.6,,490.4,,558.5,,518.6,,571.3,,659.3,,674.7,,688.6,,701.4,,713.7,,725.9,,738.3,,10.1,,12.9,,16.4,,20.5,,25.4,,31.0,,31.7,,32.4,,33.2,,33.9,,34.7,,35.5,
Bolivia (Plurinational State of),"2,712.41",,"3,013.55",,"3,359.85",,"3,760.13",,"4,173.68",,"4,595.78",,"4,674.64",,"4,751.14",,"4,826.24",,"4,901.30",,"4,977.38",,"5,054.76",,"2,640.24",,"2,943.74",,"3,298.61",,"3,710.79",,"4,133.57",,"4,550.87",,"4,632.02",,"4,712.36",,"4,792.23",,"4,872.14",,"4,952.47",,"5,033.35",,"5,352.6",,"5,957.3",,"6,658.5",,"7,470.9",,"8,307.2",,"9,146.7",,"9,306.7",,"9,463.5",,"9,618.5",,"9,773.4",,"9,929.8",,"10,088.1",,45.5,,50.5,,55.6,,59.4,,61.8,,64.2,,64.7,,65.2,,65.6,,66.1,,66.5,,67.0,
Bosnia and Herzegovina,"1,987.23",,"2,088.60",,"2,179.30",,"1,716.19",,"1,913.30",,"1,962.54",,"1,963.19",,"1,962.11",,"1,959.76",,"1,956.53",,"1,952.74",,"1,948.75",,"1,926.30",,"2,033.00",,"2,128.90",,"1,615.91",,"1,780.40",,"1,818.46",,"1,818.40",,"1,816.92",,"1,814.41",,"1,811.16",,"1,807.41",,"1,803.48",,"3,913.5",,"4,121.6",,"4,308.2",,"3,332.1",,"3,693.7",,"3,781.0",,"3,781.6",,"3,779.0",,"3,774.2",,"3,767.7",,"3,760.1",,"3,752.2",,35.5,,37.6,,39.2,,41.1,,43.2,,45.7,,46.3,,46.9,,47.4,,48.0,,48.6,,49.2,
Botswana,508.84,,601.21,,699.81,,799.45,,882.14,,935.64,,947.08,,959.20,,971.62,,983.73,,995.09,,"1,005.61",,487.37,,581.59,,682.57,,786.19,,875.79,,940.03,,953.83,,968.34,,983.20,,997.85,,"1,011.85",,"1,025.13",,996.2,,"1,182.8",,"1,382.4",,"1,585.6",,"1,757.9",,"1,875.7",,"1,900.9",,"1,927.5",,"1,954.8",,"1,981.6",,"2,006.9",,"2,030.7",,16.5,,26.7,,41.9,,49.0,,53.2,,57.3,,58.1,,58.9,,59.7,,60.4,,61.1,,61.8,
Brazil,"60,992.47",,"68,411.46",,"75,321.45",,"81,668.76",,"88,207.71",,"94,259.90",,"95,301.33",,"96,277.23",,"97,204.91",,"98,109.50",,"99,009.23",,"99,909.74",,"60,719.40",,"67,835.31",,"74,328.75",,"80,179.41",,"86,217.68",,"91,727.06",,"92,656.88",,"93,520.84",,"94,338.33",,"95,137.11",,"95,937.24",,"96,745.28",,"121,711.9",,"136,246.8",,"149,650.2",,"161,848.2",,"174,425.4",,"185,987.0",,"187,958.2",,"189,798.1",,"191,543.2",,"193,246.6",,"194,946.5",,"196,655.0",,65.5,,69.9,,73.9,,77.6,,81.2,,84.2,,84.7,,85.2,,85.7,,86.1,,86.5,,86.9,
Brunei Darussalam,88.52,,103.29,,118.83,,137.80,,160.83,,179.14,,182.75,,186.40,,190.07,,193.74,,197.36,,200.94,,100.78,,115.76,,133.30,,151.81,,166.21,,183.98,,187.57,,191.11,,194.62,,198.10,,201.56,,205.00,,189.3,,219.1,,252.1,,289.6,,327.0,,363.1,,370.3,,377.5,,384.7,,391.8,,398.9,,405.9,,59.9,,62.3,,65.8,,68.6,,71.1,,73.5,,74.0,,74.4,,74.8,,75.2,,75.7,,76.1,
Bulgaria,"4,446.11",,"4,508.24",,"4,471.55",,"4,264.03",,"4,104.02",,"3,983.55",,"3,961.15",,"3,938.85",,"3,916.55",,"3,894.17",,"3,871.66",,"3,848.93",,"4,415.43",,"4,452.18",,"4,347.36",,"4,092.60",,"3,902.14",,"3,755.56",,"3,728.37",,"3,701.43",,"3,674.78",,"3,648.51",,"3,622.67",,"3,597.21",,"8,861.5",,"8,960.4",,"8,818.9",,"8,356.6",,"8,006.2",,"7,739.1",,"7,689.5",,"7,640.3",,"7,591.3",,"7,542.7",,"7,494.3",,"7,446.1",,62.1,,64.6,,66.4,,67.8,,68.9,,70.2,,70.4,,70.7,,70.9,,71.2,,71.5,,71.7,
