Country,Environmental_Performance_Index,IHDI_Inequality_adjusted_HDI_value,GII_Gender_Inequality_Index_value,GNI_Gross_National_Income,SUM,Overall_loss_percent
Afghanistan,..,..,0.707,"1,416",1416.707,..
Albania,71.4,0.637,0.271,"7,803",7875.308,13.80243572
Algeria,67.4,..,0.412,"7,658",7725.812,..
Andorra,..,..,..,"36,095",36095,..
Angola,36.3,..,..,"4,874",4910.3,..
Antigua/Barbuda,69.8,..,..,"15,521",15590.8,..
Argentina,61,0.641,0.372,"14,527",14589.013,19.57340025
Armenia,60.4,0.639,0.343,"5,188",5249.382,10.75418994
Australia,65.7,0.856,0.136,"34,431",34497.692,7.857911733
Austria,78.1,0.82,0.131,"35,719",35798.051,7.344632768
Azerbaijan,59.1,0.62,0.314,"8,666",8726.034,11.42857143
Bahamas,..,0.658,0.332,"23,029",23029.99,14.65629053
Bahrain,42,..,0.288,"28,169",28211.288,..
Bangladesh,44,0.363,0.55,"1,529",1573.913,27.4
Barbados,..,..,0.364,"17,966",17966.364,..
Belarus,65.4,0.693,..,"13,439",13505.093,8.333333333
Belgium,58.1,0.819,0.114,"33,357",33416.033,7.562076749
Belize,69.9,..,0.493,"5,812",5882.393,..
Benin,39.6,0.274,0.634,"1,364",1404.508,35.83138173
Bhutan,68,..,0.495,"5,293",5361.495,..
Bolivia,44.3,0.437,0.476,"4,054",4099.213,34.08748115
Bosnia/Herzegovina,55.9,0.649,..,"7,664",7720.549,11.45975443
Botswana,41.3,..,0.507,"13,049",13090.807,..
Brazil,63.4,0.519,0.449,"10,162",10226.368,27.71587744
Brunei Darussalam,60.8,..,..,"45,753",45813.8,..
Bulgaria,62.5,0.683,0.245,"11,412",11475.428,11.41374838
Burkina Faso,47.3,0.215,0.596,"1,141",1189.111,35.04531722
Burundi,43.9,..,0.478,368,412.378,..
Cambodia,41.7,0.38,0.5,"1,848",1890.58,27.34225621
Cameroon,44.6,0.321,0.639,"2,031",2076.56,33.40248963
Canada,66.4,0.829,0.14,"35,166",35233.369,8.700440529
Cape Verde,..,..,..,"3,402",3402,..
Central African Republic,33.3,0.204,0.669,707,741.173,40.52478134
Chad,40.8,0.196,0.735,"1,105",1146.731,40.24390244
Chile,73.3,0.652,0.374,"13,329",13403.326,19.00621118
China,49,0.534,0.209,"7,476",7525.743,22.27074236
Colombia,76.8,0.479,0.482,"8,315",8392.761,32.53521127
Comoros,..,..,..,"1,079",1079,..
Congo,54,0.367,0.628,"3,066",3120.995,31.14446529
DR Congo,51.6,0.172,0.71,280,332.482,39.86013986
Costa Rica,86.4,0.591,0.361,"10,497",10584.352,20.56451613
Croatia,68.7,0.675,0.17,"15,729",15798.545,15.20100503
Cuba,78.1,..,0.337,"5,416",5494.437,..
Cyprus,56.3,0.755,0.141,"24,841",24898.196,10.11904762
Czech Republic,71.6,0.821,0.136,"21,405",21477.557,5.086705202
C™te d'Ivoire,54.3,0.246,0.655,"1,387",1442.201,38.5
Denmark,69.2,0.842,0.06,"34,347",34417.102,5.921787709
Djibouti,60.5,0.275,..,"2,335",2395.775,36.04651163
Dominica,..,..,..,"7,889",7889,..
Dominican Republic,68.4,0.51,0.48,"8,087",8156.39,25.9796807
Ecuador,69.3,0.535,0.469,"7,589",7659.304,25.69444444
Egypt,62,0.489,..,"5,269",5331.489,24.06832298
El Salvador,69.1,0.495,0.487,"5,925",5995.082,26.5578635
Equatorial Guinea,41.9,..,..,"17,608",17649.9,..
Eritrea,54.6,..,..,536,590.6,..
Estonia,63.8,0.769,0.194,"16,799",16863.763,7.904191617
Ethiopia,43.1,0.247,..,971,1014.347,31.95592287
Fiji,65.9,..,..,"4,145",4210.9,..
