,HDI: GDP per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,,HDI: GNI per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,,,,,,,,,,,,,,,,,,,,,,,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),
Brazil,"7,572",,"7,139",,"7,179",,"7,724",,"7,921",,"8,505",,"8,744",,"9,181",,"9,562",,"9,414",,..,,"7,306",,"6,732",,"6,978",,"7,610",,"7,698",,"8,260",,"8,526",,"8,986",,"9,332",,"9,213",,"10,162",
Brunei Darussalam,"79,032",,"56,786",,"49,438",,"50,311",,"47,543",,"47,468",,"48,589",,"47,949",,..,,..,,..,,"86,740",,"62,323",,"49,438",,"50,311",,"47,543",,"47,468",,"48,589",,"47,725",,"45,916",,"44,842",,"45,753",
Bulgaria,"5,829",,"6,811",,"7,527",,"6,843",,"7,213",,"9,807",,"10,501",,"11,236",,"11,991",,"11,456",,..,,..,,"6,795",,"6,947",,"6,613",,"7,017",,"9,840",,"10,234",,"10,368",,"11,409",,"10,959",,"11,412",
Burkina Faso,654,,712,,720,,759,,912,,"1,040",,"1,060",,"1,062",,"1,077",,"1,078",,..,,650,,723,,721,,753,,929,,"1,040",,"1,064",,"1,056",,"1,081",,"1,070",,"1,141",
Burundi,430,,469,,484,,393,,348,,340,,347,,349,,354,,356,,..,,426,,447,,468,,381,,335,,330,,332,,332,,355,,353,,368,
Cambodia,..,,..,,..,,796,,"1,010",,"1,453",,"1,583",,"1,717",,"1,802",,"1,739",,..,,..,,..,,..,,793,,975,,"1,390",,"1,548",,"1,668",,"1,731",,"1,670",,"1,848",
Cameroon,"2,013",,"2,718",,"2,073",,"1,640",,"1,831",,"1,956",,"1,973",,"1,996",,"2,007",,"2,002",,..,,"1,691",,"2,634",,"1,986",,"1,548",,"1,731",,"1,900",,"1,963",,"1,987",,"1,990",,"2,002",,"2,031",
Canada,"23,070",,"25,043",,"26,941",,"27,778",,"32,447",,"35,033",,"35,651",,"36,074",,"35,895",,"34,567",,..,,"22,446",,"24,264",,"25,980",,"26,798",,"31,602",,"34,380",,"35,303",,"35,613",,"35,478",,"34,086",,"35,166",
Cape Verde,..,,"1,503",,"1,603",,"1,838",,"2,272",,"2,676",,"2,903",,"3,109",,"3,264",,"3,309",,..,,..,,..,,"1,605",,"1,815",,"2,224",,"2,590",,"2,788",,"3,053",,"3,164",,"3,206",,"3,402",
Central African Republic,957,,919,,822,,758,,757,,658,,671,,683,,685,,688,,..,,980,,909,,811,,742,,741,,660,,671,,691,,675,,690,,707,
