,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,..,,..,,63.0,,63.1,,66.0,,66.4,,17.7,,19.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.7,,..,,..,,..,,"154,710",,"154,920",,"153,920",,"152,996",,"152,072",,"151,148",,..,,..,,..,,..,,..,,20.1,,20.2,,20.0,,19.9,,19.8,,19.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,9.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,..,,..,,27.6,,27.9,,32.2,,31.6,,8.3,,8.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.6,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,4.9,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11,,..,,..,,..,,..,,..,,..,,..,,..,,..,,78.1,,..,,..,,..,,"3,807",,"3,838",,"3,862",,"3,867",,"3,872",,"3,877",,..,,..,,..,,..,,..,,46.2,,46.5,,46.8,,46.9,,47.0,,47.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,..,,..,,15.8,,13.8,,15.5,,15.3,,3.7,,5.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.3,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,59.1,,..,,..,,..,,936,,936,,936,,936,,936,,936,,..,,..,,..,,..,,..,,11.2,,11.3,,11.3,,11.3,,11.3,,11.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,35.2,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,..,,..,,22.6,,21.7,,23.9,,24.0,,6.4,,6.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.6,,-2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,515,,515,,515,,515,,515,,515,,..,,..,,..,,..,,..,,51.4,,51.4,,51.4,,51.4,,51.4,,51.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,..,,..,,101.7,,111.4,,99.6,,105.7,,29.6,,29.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.1,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,145.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.0,,..,,..,,..,,0,,0,,1,,0,,0,,0,,..,,..,,..,,..,,..,,0.4,,0.6,,0.7,,0.6,,0.6,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,219.8,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,..,,..,,0.7,,0.7,,1.0,,1.0,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.0,,..,,..,,..,,"1,481",,"1,468",,"1,455",,"1,452",,"1,450",,"1,447",,..,,..,,..,,..,,..,,11.4,,11.3,,11.2,,11.2,,11.1,,11.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.0,,..,,..,,0.0,,0.0,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,..,,..,,10.9,,15.2,,16.5,,16.8,,4.9,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.7,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,8,,8,,8,,8,,8,,..,,..,,..,,..,,..,,19.4,,19.4,,19.4,,19.4,,19.4,,19.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,..,,..,,23.3,,21.6,,24.1,,25.9,,6.9,,6.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.2,,3.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,65.4,,..,,..,,..,,"8,027",,"8,273",,"8,436",,"8,475",,"8,514",,"8,552",,..,,..,,..,,..,,..,,39.6,,40.8,,41.6,,41.8,,42.0,,42.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,..,,..,,41.8,,42.2,,38.6,,37.7,,9.7,,9.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.7,,8.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,58.1,,..,,..,,..,,..,,667,,673,,674,,675,,676,,..,,..,,..,,..,,..,,..,,22.0,,22.2,,22.2,,22.3,,22.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34.0,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,..,,..,,6.5,,10.3,,10.9,,10.6,,1.4,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-11.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.9,,..,,..,,..,,"1,538",,"1,489",,"1,441",,"1,431",,"1,422",,"1,412",,..,,..,,..,,..,,..,,67.4,,65.3,,63.2,,62.8,,62.3,,61.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
