,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,..,,..,,0.8,,0.8,,1.1,,1.3,,0.4,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-19.1,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,39.6,,..,,..,,..,,"5,411",,"5,061",,"4,811",,"4,761",,"4,711",,"4,661",,..,,..,,..,,..,,..,,48.9,,45.8,,43.5,,43.0,,42.6,,42.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,..,,..,,1.8,,2.6,,2.3,,2.2,,0.9,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,79.3,,12.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.0,,..,,..,,..,,"3,088",,"3,141",,"3,195",,"3,206",,"3,217",,"3,227",,..,,..,,..,,..,,..,,77.1,,78.4,,83.2,,83.5,,83.8,,84.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),..,,..,,4.6,,3.8,,3.8,,4.5,,1.4,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.5,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-7.9,,..,,..,,..,,..,,..,,..,,..,,..,,2.4,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.3,,..,,..,,..,,"61,443",,"60,091",,"58,734",,"58,426",,"58,119",,"57,811",,..,,..,,..,,..,,..,,56.7,,55.5,,54.2,,53.9,,53.6,,53.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,..,,..,,4.5,,22.0,,24.0,,25.6,,7.6,,8.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.4,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,55.9,,..,,..,,..,,"2,198",,"2,185",,"2,185",,"2,185",,"2,185",,"2,185",,..,,..,,..,,..,,..,,42.9,,42.7,,42.7,,42.7,,42.7,,42.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,..,,..,,..,,0.9,,..,,..,,0.0,,0.0,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,..,,..,,8.2,,9.1,,9.0,,9.4,,2.9,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-15.5,,..,,..,,..,,..,,..,,..,,..,,..,,3.9,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.3,,..,,..,,..,,"13,127",,"12,535",,"11,943",,"11,825",,"11,706",,"11,588",,..,,..,,..,,..,,..,,23.2,,22.1,,21.1,,20.9,,20.7,,20.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,..,,..,,6.3,,6.9,,6.9,,6.8,,1.9,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.5,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-8.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,e,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.4,,..,,..,,..,,"560,391",,"545,943",,"530,494",,"528,300",,"526,105",,"523,911",,..,,..,,..,,..,,..,,66.2,,64.5,,62.7,,62.5,,62.2,,61.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.7,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,..,,..,,68.6,,71.8,,57.9,,56.7,,19.5,,27.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.9,,-2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-7.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.8,,..,,..,,..,,405,,397,,389,,387,,385,,384,,..,,..,,..,,..,,..,,76.9,,75.3,,73.8,,73.5,,73.1,,72.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,17.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,..,,..,,25.6,,19.7,,22.3,,22.9,,6.8,,6.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.2,,-0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.7,,..,,..,,..,,..,,..,,..,,..,,..,,3.3,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,62.5,,..,,..,,..,,"3,351",,"3,375",,"3,651",,"3,706",,"3,761",,"3,817",,..,,..,,..,,..,,..,,30.3,,30.5,,33.6,,34.1,,34.6,,35.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,29.5,,..,,..,,..,,28.7,,..,,..,,0.0,,0.0,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,..,,..,,0.2,,0.2,,0.2,,0.2,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.4,,3.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-15.7,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.3,,..,,..,,..,,"6,548",,"6,248",,"5,949",,"5,889",,"5,829",,"5,769",,..,,..,,..,,..,,..,,23.9,,22.8,,21.7,,21.5,,21.3,,21.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,..,,..,,0.2,,0.2,,0.1,,0.1,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-39.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.9,,..,,..,,..,,244,,198,,181,,179,,177,,176,,..,,..,,..,,..,,..,,9.5,,7.7,,7.0,,7.0,,6.9,,6.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,..,,..,,0.5,,0.6,,1.0,,1.1,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.6,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-20.0,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.7,,..,,..,,..,,"12,245",,"11,546",,"10,731",,"10,604",,"10,476",,"10,349",,..,,..,,..,,..,,..,,69.4,,65.4,,60.8,,60.1,,59.3,,58.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.5,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,..,,..,,1.1,,0.8,,0.8,,0.7,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.4,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-16.3,,..,,..,,..,,..,,..,,..,,..,,..,,1.1,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.6,,..,,..,,..,,"23,216",,"22,116",,"21,016",,"20,796",,"20,576",,"20,356",,..,,..,,..,,..,,..,,49.1,,46.8,,44.5,,44.0,,43.5,,43.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,..,,..,,57.5,,64.2,,63.6,,61.3,,16.9,,16.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,7.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,66.4,,..,,..,,..,,"310,134",,"310,134",,"310,134",,"310,134",,"310,134",,"310,134",,..,,..,,..,,..,,..,,34.1,,34.1,,34.1,,34.1,,34.1,,34.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,..,,..,,1.0,,1.5,,2.1,,2.2,,0.6,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.8,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,46.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,70,,82,,84,,84,,84,,84,,..,,..,,..,,..,,..,,17.3,,20.4,,20.7,,20.8,,20.9,,21.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,..,,..,,0.2,,0.3,,0.2,,0.2,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.9,,-1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-2.3,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33.3,,..,,..,,..,,"23,053",,"22,903",,"22,755",,"22,725",,"22,695",,"22,665",,..,,..,,..,,..,,..,,37.0,,36.8,,36.5,,36.5,,36.4,,36.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,..,,..,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-10.9,,..,,..,,..,,..,,..,,..,,..,,..,,1.8,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40.8,,..,,..,,..,,"12,714",,"12,317",,"11,921",,"11,842",,"11,763",,"11,683",,..,,..,,..,,..,,..,,10.1,,9.8,,9.5,,9.4,,9.3,,9.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,..,,..,,11.3,,14.2,,13.4,,13.4,,4.3,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.8,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,3.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,73.3,,..,,..,,..,,"15,549",,"15,834",,"16,043",,"16,081",,"16,118",,"16,156",,..,,..,,..,,..,,..,,20.9,,21.3,,21.6,,21.6,,21.7,,21.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,..,,..,,9.8,,9.8,,15.7,,16.9,,5.0,,5.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.3,,4.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.1,,..,,..,,..,,..,,..,,..,,..,,..,,1.8,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.0,,..,,..,,..,,"167,071",,"177,001",,"193,044",,"195,807",,"198,571",,"201,334",,..,,..,,..,,..,,..,,17.9,,19.0,,20.7,,21.0,,21.3,,21.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.5,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,..,,..,,5.7,,5.1,,4.8,,5.1,,1.3,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.2,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-2.9,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11,,..,,..,,..,,..,,..,,..,,..,,..,,..,,76.8,,..,,..,,..,,"62,014",,"61,509",,"61,004",,"60,903",,"60,802",,"60,701",,..,,..,,..,,..,,..,,55.9,,55.4,,55.0,,54.9,,54.8,,54.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,..,,..,,0.5,,0.4,,0.4,,0.4,,0.2,,0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-68.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,8,,5,,5,,4,,4,,..,,..,,..,,..,,..,,5.4,,4.3,,2.7,,2.5,,2.3,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,..,,..,,2.1,,1.2,,1.6,,1.5,,0.4,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.2,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.3,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.0,,..,,..,,..,,"22,641",,"22,556",,"22,471",,"22,459",,"22,447",,"22,435",,..,,..,,..,,..,,..,,66.3,,66.1,,65.8,,65.8,,65.7,,65.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo (Democratic Republic of the),..,,..,,0.2,,0.1,,0.1,,0.1,,0.0,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-2.0,,-3.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-3.5,,..,,..,,..,,..,,..,,..,,..,,..,,0.7,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.6,,..,,..,,..,,"158,806",,"157,249",,"155,692",,"155,381",,"155,069",,"154,758",,..,,..,,..,,..,,..,,70.0,,69.4,,68.7,,68.5,,68.4,,68.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,..,,..,,5.1,,5.1,,6.2,,6.5,,1.8,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.2,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,86.4,,..,,..,,..,,"2,470",,"2,376",,"2,491",,"2,514",,"2,537",,"2,559",,..,,..,,..,,..,,..,,48.4,,46.5,,48.8,,49.2,,49.7,,50.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,..,,..,,14.5,,16.5,,19.0,,19.1,,5.5,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.3,,3.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.7,,..,,..,,..,,"1,868",,"1,885",,"1,903",,"1,906",,"1,910",,"1,913",,..,,..,,..,,..,,..,,33.4,,33.7,,34.0,,34.1,,34.1,,34.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.6,,..,,..,,0.0,,0.0,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,..,,..,,8.6,,8.6,,8.1,,9.6,,2.4,,2.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.3,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.1,,..,,..,,..,,..,,..,,..,,..,,..,,2.3,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18,,..,,..,,..,,..,,..,,..,,..,,..,,..,,78.1,,..,,..,,..,,"2,247",,"2,435",,"2,697",,"2,732",,"2,766",,"2,801",,..,,..,,..,,..,,..,,20.9,,22.7,,25.3,,25.7,,26.0,,26.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,..,,..,,28.7,,31.9,,32.9,,33.8,,10.5,,9.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.4,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,56.3,,..,,..,,..,,166,,172,,173,,173,,173,,173,,..,,..,,..,,..,,..,,18.0,,18.6,,18.7,,18.7,,18.7,,18.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.4,,..,,..,,..,,19.3,,..,,..,,0.0,,0.0,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,..,,..,,42.9,,42.0,,41.3,,41.3,,12.0,,11.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.3,,5.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,71.6,,..,,..,,..,,"2,633",,"2,637",,"2,647",,"2,649",,"2,651",,"2,653",,..,,..,,..,,..,,..,,34.1,,34.1,,34.3,,34.3,,34.3,,34.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.8,,..,,..,,0.0,,0.0,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,..,,..,,1.7,,1.5,,1.6,,1.3,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.3,,..,,..,,..,,"10,275",,"10,328",,"10,405",,"10,405",,"10,404",,"10,404",,..,,..,,..,,..,,..,,32.3,,32.5,,32.7,,32.7,,32.7,,32.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
